DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,mu_tf,d_tf_mpc,d_catalog_mpc
*,6228,PGC006228,74,3,1493,163,8,14.976,0.076,14.63,13.16,13.51,0.47,0.47,0.4,0.58,0.08,0.31,0.04,0.02,0.0,1.03,0.55,0.04,5,5,0,1,LEDA    6228,LEDA,25.27968,-5.5682,ivo://CDS.VizieR/J/ApJ/902/145:table1:758,1568,1206,1.003,31.4,0.23,31.4,0.22,0.56,31.39,0.23,0.6,31.39,0.23,0.59,31.29,0.24,0.66,2.2121876044039577,-17.89,-18.31309099436987,31.82309099436987,23.153582550388677,19.054607179632463
*,6235,IC1721,66,4,4310,264,6,16.551,0.076,15.35,13.62,13.47,0.22,0.22,0.23,0.48,0.08,0.28,0.05,0.02,0.0,1.24,0.71,0.07,5,5,1,1,LEDA    6235,LEDA,25.35175,8.52544,ivo://CDS.VizieR/J/ApJ/902/145:table1:759,4444,4014,1.011,33.6,0.18,33.6,0.17,0.46,33.6,0.18,0.46,33.59,0.18,0.45,33.6,0.18,0.57,2.4216039268698313,-20.130000000000003,-20.04249063151736,33.51249063151736,50.4078444329312,52.480746024977286
*,6246,PGC006246,84,3,8596,305,10,16.485,0.076,16.98,15.09,14.46,0.19,0.17,0.2,1.15,0.23,0.67,0.14,0.05,0.01,1.2,0.69,0.06,5,5,1,1,LEDA    6246,LEDA,25.42115,5.85339,ivo://CDS.VizieR/J/ApJ/902/145:table1:760,8719,8300,1.022,34.92,0.16,34.92,0.16,0.43,34.92,0.16,0.43,34.92,0.16,0.42,34.84,0.16,0.56,2.484299839346786,-20.46,-20.560245346200333,35.02024534620033,100.93669240671373,96.38290236239715
*,6249,NGC2573,70,3,2416,217,19,16.274,0.185,,,13.0,,,0.42,,,,,0.03,0.0,1.21,0.7,0.06,0,5,0,0,LEDA    6249,LEDA,25.40834,-89.33452,ivo://CDS.VizieR/J/ApJ/902/145:table1:761,2171,2458,1.007,32.33,0.38,,,,,,,,,,32.33,0.38,0.62,2.3364597338485296,-19.33,-19.33935376624149,32.33935376624149,29.36775532672354,29.241523778433336
*,6257,ESO413-023,87,2,5805,284,20,16.225,0.185,,,14.27,,,0.31,,,,,0.04,0.0,1.1,0.61,0.05,0,5,0,1,LEDA    6257,LEDA,25.45542,-28.24723,ivo://CDS.VizieR/J/ApJ/902/145:table1:762,5776,5569,1.015,34.35,0.3,,,,,,,,,,34.35,0.3,0.58,2.4533183400470375,-20.080000000000002,-20.304394259635668,34.57439425963567,82.20133142677425,74.1310241300918
*,6263,UGC01189,72,3,5494,223,7,15.784,0.076,16.25,14.91,15.05,0.24,0.23,0.25,0.51,0.07,0.27,0.04,0.01,0.0,1.0,0.53,0.03,5,5,1,1,LEDA    6263,LEDA,25.47878,7.12134,ivo://CDS.VizieR/J/ApJ/902/145:table1:763,5622,5198,1.014,34.27,0.17,34.27,0.16,0.53,34.27,0.17,0.54,34.28,0.17,0.53,34.18,0.16,0.62,2.3483048630481607,-19.220000000000002,-19.4371730856651,34.487173085665106,78.96499589534739,71.44963260755142
*,6275,NGC0658,63,4,2992,313,5,13.885,0.076,13.97,12.3,12.1,0.48,0.39,0.33,0.42,0.07,0.25,0.04,0.02,0.0,1.24,0.71,0.07,5,5,1,1,LEDA    6275,LEDA,25.54018,12.60182,ivo://CDS.VizieR/J/ApJ/902/145:table1:764,3142,2697,1.007,32.94,0.18,32.93,0.18,0.35,32.95,0.18,0.39,32.95,0.18,0.4,32.95,0.18,0.51,2.4955443375464483,-20.839999999999996,-20.653104541116104,32.7531045411161,35.53210266105821,38.72576449216169
*,6289,PGC006289,75,3,5481,334,12,16.907,0.185,,,12.77,,,0.2,,,,,0.02,0.0,1.03,0.48,0.04,0,5,0,1,LEDA    6289,LEDA,25.6059,-16.30047,ivo://CDS.VizieR/J/ApJ/902/145:table1:765,5506,5214,1.014,33.61,0.18,,,,,,,,,,33.61,0.18,0.52,2.5237464668115646,-20.84,-20.886003063750728,33.65600306375073,53.85184817977545,52.722986142282274
*,6292,UGC01195,82,3,764,119,5,13.836,0.076,14.29,13.04,13.61,0.74,0.75,0.66,0.65,0.12,0.27,0.05,0.0,0.0,0.77,0.32,0.01,5,5,0,0,LEDA    6292,LEDA,25.61234,13.97703,ivo://CDS.VizieR/J/ApJ/902/145:table1:767,919,470,1.001,29.78,0.2,29.77,0.19,0.56,29.77,0.2,0.6,29.8,0.2,0.59,29.79,0.2,0.66,2.0755469613925306,-16.17,-17.184686695884157,30.794686695884156,14.419072954243285,9.036494737223018
*,6294,UGC01197,84,3,2795,178,5,14.657,0.076,15.99,14.45,14.76,0.4,0.43,0.43,0.78,0.16,0.34,0.07,0.01,0.0,0.81,0.36,0.01,5,5,1,1,LEDA    6294,LEDA,25.63769,18.30569,ivo://CDS.VizieR/J/ApJ/902/145:table1:768,2965,2504,1.007,32.46,0.16,32.47,0.15,0.56,32.46,0.16,0.59,32.46,0.16,0.59,32.51,0.15,0.65,2.250420002308894,-17.700000000000003,-18.628821374339893,33.38882137433989,47.61724611075681,31.04559588128357
