pair_id,group_id,r_ap,x_o,y_o,x_e,y_e,flux_o,flux_e,sky_o,sky_e
29,2,5,153.06759376745896,354.13808656091726,183.29545154306493,359.97032358155406,21.71811912631847,5.693631769921922,-47.0,-47.0
29,2,6,153.06759376745896,354.13808656091726,183.29545154306493,359.97032358155406,17.616948743908324,1.0318370728555237,-47.0,-47.0
29,2,8,153.06759376745896,354.13808656091726,183.29545154306493,359.97032358155406,8.11947750073523,-4.4504268180699,-47.0,-47.0
0,3,3,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,-12.038281033647309,15.813203507961816,-47.0,-47.5
0,3,4,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,110.12935256370838,9.599157815385297,-47.0,-47.5
0,3,5,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,424.23263074711394,-0.5802643090655693,-47.0,-47.5
0,3,6,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,899.4906879786331,-14.801390057011304,-47.0,-47.5
0,3,8,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,2296.481764899282,-68.10815200028992,-47.0,-47.5
1,3,3,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,4.563537195784647,25.176056289587905,-47.5,-48.0
1,3,4,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,-2.2701056757023252,25.330754533351865,-47.5,-48.0
1,3,5,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,-16.38531712743861,25.465645431891517,-47.5,-48.0
1,3,6,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,-38.02038099114816,14.540420312682727,-47.5,-48.0
1,3,8,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,83.11364575742482,-1.640140095976676,-47.5,-48.0
2,3,3,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,45.94139334195097,31.604864535906017,-47.0,-47.0
2,3,4,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,53.21185087454023,33.544140066382624,-47.0,-47.0
2,3,5,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,53.87146457440167,34.19149674446044,-47.0,-47.0
2,3,6,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,55.84009584500109,38.461898757187555,-47.0,-47.0
2,3,8,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,56.20348846473644,51.078622783057654,-47.0,-47.0
4,3,3,278.9169335822873,64.67893641073714,308.88343657977146,70.22924614170911,26.992626422658986,25.841051506262147,-47.0,-47.0
4,3,4,278.9169335822873,64.67893641073714,308.88343657977146,70.22924614170911,33.184517904939185,24.20632836403456,-47.0,-47.0
