F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,122,574.265,46.660,21.092,0.022,0.196,0.030,78.42360,-65.50800
A,140,582.134,52.958,22.602,0.078,0.553,0.116,78.42537,-65.50743
A,141,580.216,57.812,21.542,0.034,0.502,0.052,78.42496,-65.50698
A,142,575.030,55.147,20.623,0.013,0.139,0.023,78.42379,-65.50722
B,2895,575.566,51.640,21.780,0.035,0.545,0.062,78.42390,-65.50754
B,2910,579.247,56.431,22.190,0.053,0.462,0.072,78.42474,-65.50711
A,3382,562.179,16.249,22.806,0.085,0.253,0.120,78.42081,-65.51079
A,3384,550.732,19.635,20.843,0.021,0.276,0.033,78.41828,-65.51046
B,14,561.951,5.956,22.538,0.065,0.305,0.094,78.42073,-65.51174
B,28,553.197,12.090,20.974,0.015,0.807,0.030,78.41880,-65.51116
A,7139,548.789,32.612,21.230,0.031,0.218,0.039,78.41789,-65.50926
B,62,549.354,32.672,22.253,0.051,0.577,0.074,78.41801,-65.50926
A,73,541.153,28.653,20.129,0.017,0.774,0.027,78.41618,-65.50962
A,74,536.219,30.719,19.163,0.011,0.865,0.018,78.41509,-65.50942
