F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,2683,660.054,805.503,20.816,0.020,0.802,0.031,78.44505,-65.43814
A,8508,671.848,788.049,19.626,0.016,0.034,0.019,78.44761,-65.43976
A,2720,669.799,812.558,20.473,0.018,0.201,0.027,78.44723,-65.43750
A,2721,675.948,814.464,21.697,0.032,0.411,0.053,78.44860,-65.43733
A,5611,665.455,818.014,20.620,0.019,0.395,0.030,78.44629,-65.43699
A,8532,664.254,812.126,21.988,0.074,0.452,0.117,78.44600,-65.43753
A,9268,670.195,816.050,20.437,0.019,0.235,0.029,78.44733,-65.43718
A,2717,688.482,811.987,22.746,0.102,0.614,0.156,78.45138,-65.43757
A,2762,686.179,822.381,20.998,0.022,0.219,0.036,78.45090,-65.43661
A,5587,693.396,805.482,21.379,0.050,0.350,0.063,78.45244,-65.43818
A,2763,686.262,826.412,21.552,0.036,0.541,0.064,78.45093,-65.43624
A,2768,698.101,823.113,22.143,0.049,0.527,0.094,78.45354,-65.43656
A,2804,692.213,831.729,22.510,0.069,0.510,0.124,78.45226,-65.43576
A,2805,689.308,832.385,22.146,0.057,0.375,0.099,78.45162,-65.43569
A,8542,708.600,824.749,22.205,0.053,0.610,0.074,78.45588,-65.43642
A,5633,678.528,820.750,22.744,0.103,0.394,0.167,78.44920,-65.43675
A,5665,668.549,833.704,21.507,0.029,0.394,0.049,78.44702,-65.43555
A,5666,671.598,835.589,21.078,0.020,0.801,0.041,78.44771,-65.43538
A,2825,684.899,838.298,21.468,0.030,0.343,0.045,78.45066,-65.43514
A,5701,670.915,846.530,22.296,0.072,0.488,0.112,78.44759,-65.43437
A,6897,734.694,814.234,18.750,0.006,0.025,0.011,78.46163,-65.43742
A,6901,744.949,814.842,20.055,0.020,0.200,0.028,78.46390,-65.43738
A,8525,749.372,805.861,20.154,0.014,0.383,0.018,78.46486,-65.43821
A,2747,751.029,818.789,20.249,0.014,0.128,0.023,78.46526,-65.43702
A,5659,747.098,830.999,21.719,0.032,0.581,0.065,78.46443,-65.43589
A,10286,736.970,823.750,18.454,0.015,-0.020,0.021,78.46216,-65.43655
A,10287,738.965,825.211,17.958,0.010,0.038,0.016,78.46261,-65.43642
A,2764,725.628,822.549,17.827,0.006,0.016,0.009,78.45964,-65.43665
A,2796,713.544,829.772,21.639,0.041,0.580,0.061,78.45699,-65.43596
A,2797,718.481,832.458,19.491,0.018,0.116,0.029,78.45809,-65.43572
A,2798,723.301,834.207,21.039,0.031,0.339,0.051,78.45916,-65.43557
A,2862,717.048,856.137,20.240,0.014,0.101,0.023,78.45785,-65.43354
A,5696,726.519,845.577,21.734,0.044,0.402,0.064,78.45991,-65.43452
A,5713,719.034,850.929,18.309,0.006,-0.025,0.010,78.45827,-65.43402
A,8551,734.939,838.359,20.919,0.050,1.560,0.073,78.46176,-65.43520
A,8557,719.319,843.650,21.410,0.042,0.519,0.066,78.45831,-65.43469
A,8552,744.231,840.252,20.179,0.014,0.197,0.021,78.46382,-65.43504
A,8562,740.772,852.127,22.804,0.112,1.170,0.199,78.46309,-65.43394
A,14427,746.865,842.482,22.161,0.074,0.950,0.166,78.46441,-65.43483
A,5731,748.379,856.731,20.853,0.021,0.419,0.035,78.46479,-65.43352
A,5732,748.731,862.715,21.561,0.037,0.535,0.059,78.46489,-65.43297
A,5733,743.920,864.676,19.212,0.011,0.043,0.016,78.46383,-65.43278
A,2869,734.867,852.953,22.594,0.095,1.300,0.178,78.46179,-65.43385
A,2915,719.413,866.131,22.475,0.077,0.442,0.111,78.45840,-65.43262
A,9283,722.322,854.317,20.014,0.020,0.098,0.026,78.45901,-65.43371
A,2939,721.075,872.905,21.993,0.056,0.622,0.083,78.45879,-65.43200
A,5763,730.122,874.949,21.401,0.032,0.541,0.057,78.46080,-65.43182
A,5787,726.397,881.973,19.694,0.010,0.238,0.015,78.46000,-65.43117
A,6964,727.039,870.636,22.578,0.097,0.755,0.161,78.46010,-65.43221
A,2826,689.540,841.811,20.685,0.016,0.186,0.027,78.45170,-65.43483
A,2876,696.797,853.382,22.681,0.085,0.713,0.136,78.45335,-65.43377
A,2868,709.039,852.301,21.488,0.026,0.553,0.043,78.45606,-65.43388
A,2899,710.044,860.366,21.516,0.032,0.421,0.046,78.45631,-65.43314
A,2903,701.901,862.422,22.424,0.088,0.890,0.146,78.45451,-65.43294
A,6951,699.140,861.073,21.507,0.036,0.414,0.053,78.45389,-65.43306
A,2865,684.262,851.857,21.131,0.029,0.222,0.038,78.45056,-65.43389
A,2904,673.654,861.816,20.703,0.222,0.190,0.278,78.44824,-65.43296
A,6952,678.862,862.913,21.777,0.048,0.434,0.066,78.44940,-65.43287
A,6953,672.626,867.156,21.107,0.028,0.359,0.040,78.44803,-65.43247
A,9598,677.003,866.323,19.892,0.013,0.321,0.020,78.44900,-65.43255
A,14432,672.313,860.461,20.730,0.078,0.465,0.233,78.44794,-65.43308
A,2911,690.069,863.864,22.444,0.062,0.771,0.100,78.45189,-65.43279
A,2916,708.394,866.742,20.685,0.019,0.931,0.031,78.45596,-65.43255
A,2928,701.380,870.891,22.670,0.080,0.385,0.129,78.45442,-65.43216
A,2945,711.133,874.133,21.839,0.035,0.496,0.062,78.45659,-65.43187
A,2966,702.744,881.704,22.546,0.082,0.562,0.136,78.45475,-65.43116
A,6971,698.850,876.945,23.167,0.143,0.847,0.235,78.45388,-65.43160
A,2985,716.703,889.128,21.203,0.020,0.226,0.034,78.45787,-65.43050
A,3009,707.697,897.323,22.259,0.052,0.329,0.082,78.45590,-65.42973
A,6979,701.222,886.855,22.414,0.071,0.603,0.096,78.45443,-65.43069
A,2950,693.585,879.395,22.776,0.078,0.855,0.139,78.45272,-65.43136
A,2971,687.028,883.851,22.630,0.090,0.770,0.133,78.45128,-65.43095
A,5804,677.674,891.338,18.798,0.009,0.068,0.014,78.44923,-65.43024
A,5835,679.410,902.034,22.160,0.067,0.480,0.099,78.44964,-65.42926
A,5822,693.856,896.569,19.872,0.013,0.168,0.021,78.45283,-65.42978
A,5836,682.039,905.178,22.220,0.069,0.567,0.089,78.45024,-65.42897
A,8595,687.791,902.901,20.590,0.020,0.585,0.034,78.45150,-65.42919
A,2694,831.286,807.524,22.152,0.065,0.464,0.083,78.48302,-65.43816
A,2733,835.844,816.780,21.704,0.049,0.448,0.072,78.48406,-65.43731
A,2734,834.281,823.517,20.660,0.019,0.291,0.028,78.48374,-65.43669
A,2774,843.155,824.686,20.256,0.015,0.237,0.021,78.48571,-65.43659
A,6909,837.504,821.253,21.466,0.037,0.439,0.052,78.48444,-65.43690
A,6918,839.454,829.390,22.760,0.102,0.350,0.144,78.48490,-65.43615
A,2807,809.240,831.815,18.759,0.008,-0.001,0.011,78.47821,-65.43589
A,5602,825.526,814.970,22.156,0.054,0.580,0.088,78.48177,-65.43747
A,6919,816.195,829.971,21.115,0.027,0.314,0.036,78.47975,-65.43607
A,8541,826.511,824.453,22.277,0.050,0.439,0.083,78.48202,-65.43659
A,5679,830.388,838.329,19.028,0.009,0.963,0.014,78.48292,-65.43532
A,5704,817.577,847.552,18.671,0.010,0.935,0.016,78.48011,-65.43445
A,2835,843.793,844.395,21.984,0.049,0.520,0.075,78.48591,-65.43477
A,5667,847.747,834.674,20.149,0.018,0.628,0.026,78.48676,-65.43568
A,8555,848.404,840.935,19.969,0.016,0.130,0.023,78.48692,-65.43510
A,8564,833.933,856.564,22.260,0.066,0.334,0.085,78.48376,-65.43364
A,10288,850.365,843.850,20.850,0.046,0.199,0.057,78.48736,-65.43483
A,2909,844.172,863.190,21.912,0.050,0.336,0.073,78.48605,-65.43304
A,5724,850.339,854.921,18.913,0.012,0.025,0.014,78.48739,-65.43381
A,5765,837.068,872.553,19.228,0.011,0.316,0.017,78.48450,-65.43217
A,2875,829.969,853.235,22.908,0.071,1.180,0.197,78.48287,-65.43394
A,14436,833.794,870.028,21.859,0.066,0.245,0.086,78.48377,-65.43240
A,2808,803.512,833.164,20.424,0.016,0.260,0.025,78.47694,-65.43576
A,2828,794.430,839.034,21.406,0.037,0.492,0.056,78.47495,-65.43521
A,2851,787.692,848.604,21.346,0.048,1.890,0.098,78.47348,-65.43432
A,6927,800.867,837.491,21.607,0.056,0.457,0.088,78.47637,-65.43536
A,5716,799.875,851.797,21.049,0.049,0.550,0.077,78.47619,-65.43404
A,5739,805.587,859.454,21.595,0.041,0.475,0.059,78.47748,-65.43334
A,2872,775.383,852.792,22.125,0.052,0.546,0.082,78.47077,-65.43392
A,5728,785.061,855.979,21.053,0.021,0.538,0.036,78.47292,-65.43364
A,5735,763.699,859.062,20.343,0.014,0.874,0.029,78.46820,-65.43333
A,2976,771.240,884.856,22.795,0.120,0.500,0.162,78.46995,-65.43096
A,5760,784.664,870.115,22.444,0.064,0.313,0.096,78.47288,-65.43233
A,5769,775.339,874.623,19.649,0.011,0.134,0.014,78.47082,-65.43190
A,5740,805.427,863.886,21.126,0.033,0.773,0.055,78.47746,-65.43293
A,5794,793.713,885.572,22.311,0.056,0.649,0.102,78.47493,-65.43092
A,6960,811.804,867.117,20.034,0.016,0.105,0.020,78.47888,-65.43264
A,2954,814.076,879.431,21.563,0.044,0.438,0.062,78.47943,-65.43151
A,2955,811.425,881.171,21.367,0.034,0.671,0.061,78.47884,-65.43134
A,2982,808.966,887.890,21.390,0.032,0.713,0.055,78.47832,-65.43072
A,3001,802.153,893.471,21.592,0.046,0.536,0.062,78.47682,-65.43020
A,3022,798.276,902.576,19.301,0.011,0.030,0.014,78.47599,-65.42935
A,3041,782.896,907.286,22.089,0.053,0.277,0.073,78.47260,-65.42890
A,5826,783.444,897.594,18.495,0.008,0.849,0.012,78.47269,-65.42980
A,5861,773.995,913.728,19.556,0.012,0.062,0.016,78.47064,-65.42830
A,8600,788.021,908.650,21.376,0.026,0.390,0.041,78.47374,-65.42878
A,2923,858.139,869.920,20.640,0.020,0.321,0.034,78.48916,-65.43244
A,11092,849.444,881.225,20.047,0.014,0.393,0.038,78.48727,-65.43139
A,11093,848.794,883.120,20.817,0.077,0.110,0.098,78.48713,-65.43121
A,2960,831.662,880.841,21.379,0.032,0.377,0.044,78.48333,-65.43140
A,2990,823.538,890.204,19.665,0.013,0.111,0.018,78.48155,-65.43053
A,6985,821.399,897.792,22.178,0.073,0.793,0.127,78.48110,-65.42982
A,3000,838.442,893.208,22.080,0.075,0.486,0.099,78.48487,-65.43027
A,3025,828.197,904.207,21.815,0.048,0.775,0.078,78.48263,-65.42924
A,5880,845.872,919.893,21.701,0.043,0.281,0.058,78.48659,-65.42782
A,9601,858.333,899.691,17.878,0.014,1.070,0.017,78.48930,-65.42969
A,10289,857.427,896.416,19.765,0.032,0.224,0.036,78.48909,-65.42999
A,3095,857.321,924.827,22.194,0.059,0.603,0.096,78.48915,-65.42737
A,5900,854.322,927.524,22.224,0.083,0.385,0.107,78.48849,-65.42712
A,5901,859.568,930.196,22.549,0.081,0.757,0.129,78.48966,-65.42688
A,6995,860.899,911.510,17.470,0.010,1.080,0.014,78.48990,-65.42861
A,5885,829.913,922.436,22.761,0.090,0.989,0.181,78.48306,-65.42756
A,5886,826.034,924.371,22.475,0.088,0.498,0.133,78.48221,-65.42738
A,5887,822.655,926.195,21.946,0.051,0.662,0.081,78.48147,-65.42721
A,5898,836.218,925.193,20.689,0.018,0.843,0.033,78.48447,-65.42731
A,3113,843.749,932.371,20.212,0.015,0.859,0.022,78.48616,-65.42666
A,8640,833.571,945.767,22.592,0.204,0.855,0.238,78.48395,-65.42541
A,3039,810.887,910.192,22.194,0.072,0.374,0.090,78.47881,-65.42867
A,5823,813.863,896.694,22.682,0.077,0.716,0.140,78.47943,-65.42992
A,6989,803.054,902.056,21.772,0.057,0.430,0.080,78.47705,-65.42941
A,6990,807.807,907.175,21.977,0.051,0.414,0.065,78.47812,-65.42894
A,3092,804.893,923.984,22.385,0.070,0.538,0.105,78.47752,-65.42739
A,3112,800.161,933.893,22.516,0.080,0.698,0.123,78.47651,-65.42647
A,5905,807.532,930.710,22.213,0.062,0.778,0.097,78.47813,-65.42677
A,5891,783.701,923.073,22.532,0.080,0.478,0.131,78.47282,-65.42745
A,5908,796.002,932.099,21.958,0.060,0.577,0.090,78.47558,-65.42663
A,5922,793.846,937.807,19.155,0.011,0.115,0.014,78.47512,-65.42610
A,3107,808.296,936.087,21.801,0.031,0.692,0.052,78.47831,-65.42628
A,3119,814.892,932.913,21.842,0.045,1.870,0.121,78.47977,-65.42658
A,5917,822.617,935.760,20.925,0.023,0.455,0.036,78.48149,-65.42632
A,5934,817.897,947.837,20.698,0.035,0.321,0.045,78.48048,-65.42520
A,5988,811.558,964.417,23.195,0.134,1.310,0.257,78.47912,-65.42367
A,8634,818.322,944.323,19.454,0.019,0.132,0.024,78.48056,-65.42553
A,9604,821.419,942.020,18.559,0.011,1.020,0.016,78.48124,-65.42575
A,10419,823.228,945.522,18.324,0.011,0.008,0.014,78.48165,-65.42542
A,3157,798.675,944.368,20.350,0.019,0.371,0.028,78.47621,-65.42550
A,5958,790.370,953.296,20.136,0.023,0.254,0.033,78.47439,-65.42467
A,3202,794.724,961.592,21.024,0.022,0.320,0.040,78.47538,-65.42391
A,3209,805.041,964.932,22.829,0.115,0.560,0.198,78.47768,-65.42361
A,3251,788.413,977.121,20.649,0.022,0.303,0.030,78.47403,-65.42247
A,7060,792.341,966.392,20.369,0.020,0.200,0.030,78.47487,-65.42346
A,2937,755.468,872.479,22.733,0.099,0.599,0.140,78.46641,-65.43208
A,6975,745.911,879.608,19.883,0.016,0.246,0.027,78.46432,-65.43141
A,8573,756.818,865.906,21.512,0.046,0.598,0.076,78.46669,-65.43269
A,5791,753.620,884.794,22.094,0.060,0.425,0.086,78.46604,-65.43094
A,5792,749.831,888.333,23.083,0.124,0.555,0.180,78.46521,-65.43061
A,3021,727.490,902.002,22.321,0.058,0.390,0.104,78.46030,-65.42932
A,8592,732.353,897.701,20.733,0.032,0.267,0.049,78.46137,-65.42972
A,3005,744.433,894.921,19.882,0.014,0.125,0.022,78.46403,-65.43000
A,3006,740.353,898.829,22.498,0.074,0.872,0.140,78.46314,-65.42963
A,5842,732.007,905.577,22.150,0.060,0.762,0.105,78.46131,-65.42900
A,3036,763.294,906.959,22.444,0.074,0.381,0.101,78.46825,-65.42891
A,5868,758.716,914.694,22.937,0.099,0.598,0.185,78.46726,-65.42819
A,5849,746.873,908.629,21.058,0.028,0.272,0.046,78.46462,-65.42873
A,5850,744.615,910.784,19.840,0.012,0.827,0.021,78.46412,-65.42853
A,5851,741.859,913.272,21.392,0.031,0.304,0.049,78.46352,-65.42830
A,5899,735.729,925.618,20.343,0.017,0.245,0.025,78.46220,-65.42715
A,5913,752.484,935.205,22.285,0.067,0.491,0.098,78.46594,-65.42629
A,7024,731.041,940.411,21.664,0.043,0.415,0.058,78.46121,-65.42578
A,3034,713.479,906.715,19.781,0.014,0.273,0.018,78.45721,-65.42887
A,3060,706.318,916.616,22.087,0.062,0.556,0.091,78.45565,-65.42795
A,5818,714.593,895.334,19.195,0.008,0.083,0.012,78.45742,-65.42992
A,5838,721.342,904.015,19.870,0.015,0.246,0.020,78.45894,-65.42913
A,6997,707.565,912.658,20.863,0.021,0.312,0.034,78.45592,-65.42831
A,3056,721.870,911.058,21.407,0.033,0.155,0.054,78.45908,-65.42848
A,3073,714.470,917.502,22.605,0.073,0.876,0.154,78.45746,-65.42788
A,6998,724.841,913.685,19.640,0.012,0.359,0.016,78.45975,-65.42824
A,7011,717.826,923.195,21.942,0.053,0.524,0.076,78.45822,-65.42736
A,3074,693.400,917.862,20.430,0.015,0.228,0.026,78.45279,-65.42782
A,3163,686.580,947.398,22.200,0.053,0.578,0.087,78.45137,-65.42509
A,3088,722.073,925.940,22.434,0.069,0.840,0.122,78.45917,-65.42711
A,3123,712.494,934.808,19.999,0.018,0.119,0.023,78.45708,-65.42628
A,3145,719.409,941.276,20.825,0.020,0.210,0.030,78.45863,-65.42569
A,3164,707.715,947.463,21.538,0.033,0.371,0.056,78.45606,-65.42511
A,7025,710.850,940.891,21.377,0.035,0.484,0.053,78.45673,-65.42572
A,3138,729.040,945.362,22.127,0.066,0.411,0.085,78.46078,-65.42533
A,3162,716.400,947.323,20.272,0.018,0.142,0.022,78.45798,-65.42513
A,3188,712.451,954.755,21.584,0.032,0.469,0.053,78.45713,-65.42444
A,7043,719.359,950.971,21.224,0.034,0.528,0.047,78.45865,-65.42480
A,3143,702.233,941.142,19.621,0.012,0.054,0.018,78.45482,-65.42568
A,3144,698.986,944.049,19.389,0.013,0.864,0.018,78.45411,-65.42541
A,5948,692.201,947.940,20.295,0.018,0.106,0.022,78.45262,-65.42504
A,7042,702.757,949.921,22.101,0.050,0.778,0.094,78.45497,-65.42487
A,3125,770.104,935.376,22.635,0.085,0.547,0.134,78.46985,-65.42630
A,5946,755.277,946.914,21.607,0.035,0.457,0.060,78.46660,-65.42521
A,3176,772.768,951.433,20.049,0.017,0.123,0.021,78.47049,-65.42482
A,5972,771.086,958.021,22.053,0.046,0.649,0.091,78.47013,-65.42421
A,7056,760.589,962.599,21.047,0.029,0.513,0.048,78.46782,-65.42377
A,5980,737.995,962.430,21.388,0.046,-0.033,0.056,78.46281,-65.42376
A,7047,744.565,953.312,22.046,0.071,0.645,0.112,78.46424,-65.42461
A,9296,740.500,959.996,19.181,0.010,0.076,0.014,78.46336,-65.42399
A,3198,745.056,963.225,20.594,0.025,0.171,0.034,78.46438,-65.42370
A,5974,755.310,958.575,20.514,0.018,0.510,0.032,78.46664,-65.42414
A,7073,741.061,982.364,22.450,0.068,0.967,0.127,78.46356,-65.42193
A,3247,771.859,976.208,19.972,0.014,0.334,0.021,78.47036,-65.42253
A,7084,773.568,991.682,17.905,0.010,1.410,0.013,78.47079,-65.42111
A,3243,751.797,975.429,22.097,0.051,0.632,0.087,78.46591,-65.42258
A,3262,741.165,986.836,21.204,0.028,0.358,0.036,78.46359,-65.42152
A,3294,743.398,993.274,22.427,0.069,0.722,0.126,78.46411,-65.42092
A,6003,758.479,972.582,20.806,0.024,0.245,0.033,78.46739,-65.42285
A,6075,746.801,1004.478,22.391,0.064,0.838,0.110,78.46490,-65.41990
A,3189,729.684,955.172,21.234,0.031,0.370,0.046,78.46095,-65.42442
A,3241,735.131,975.087,22.394,0.076,0.576,0.115,78.46222,-65.42259
A,3261,737.313,980.703,22.719,0.107,0.447,0.161,78.46272,-65.42208
A,3276,695.636,987.013,21.247,0.025,0.616,0.049,78.45350,-65.42144
A,14511,693.240,997.088,21.789,0.062,0.547,0.094,78.45300,-65.42051
A,3304,707.315,1000.354,22.138,0.074,0.572,0.110,78.45613,-65.42023
A,7091,710.641,997.526,21.885,0.083,0.614,0.118,78.45686,-65.42049
A,7093,695.298,999.571,20.356,0.017,0.135,0.025,78.45347,-65.42029
A,7095,708.425,1003.491,22.064,0.049,0.300,0.075,78.45639,-65.41994
A,3308,725.998,999.830,20.782,0.020,0.244,0.030,78.46027,-65.42030
A,6060,733.373,999.509,21.420,0.040,0.493,0.057,78.46190,-65.42034
A,3329,731.582,1012.251,21.225,0.045,0.389,0.064,78.46155,-65.41916
A,6061,738.710,1002.174,21.061,0.030,0.562,0.041,78.46310,-65.42010
A,6100,719.170,1014.452,22.355,0.104,0.825,0.148,78.45880,-65.41894
A,8685,705.666,1020.442,21.883,0.053,0.556,0.104,78.45583,-65.41837
A,8686,702.544,1022.395,21.135,0.044,0.577,0.077,78.45514,-65.41819
A,5621,1019.614,814.572,22.442,0.216,-0.821,0.245,78.52480,-65.43773
A,5690,999.843,841.960,21.485,0.035,0.424,0.056,78.52050,-65.43518
A,2856,999.071,851.087,20.457,0.017,0.304,0.028,78.52035,-65.43434
A,5684,1008.381,840.087,20.020,0.015,0.016,0.019,78.52238,-65.43536
A,5697,1017.981,845.888,20.364,0.023,0.864,0.033,78.52453,-65.43484
A,8571,1022.868,862.751,22.331,0.073,0.332,0.103,78.52566,-65.43329
A,8579,1016.888,873.837,20.810,0.029,0.080,0.033,78.52437,-65.43226
A,5703,978.730,846.986,21.569,0.031,0.600,0.061,78.51583,-65.43469
A,6947,977.380,859.630,21.728,0.041,0.365,0.059,78.51557,-65.43353
A,2855,993.710,849.774,20.814,0.027,0.815,0.037,78.51916,-65.43445
A,2931,986.058,871.827,22.858,0.130,0.603,0.171,78.51753,-65.43241
A,5727,993.896,855.781,20.764,0.023,0.379,0.035,78.51922,-65.43390
A,11795,992.708,862.565,19.860,0.049,0.886,0.081,78.51897,-65.43327
A,2897,974.562,863.971,22.341,0.075,0.446,0.106,78.51496,-65.43312
A,2969,959.487,885.183,21.496,0.040,0.105,0.060,78.51168,-65.43115
A,6977,969.677,883.822,21.242,0.034,0.259,0.047,78.51393,-65.43129
A,8585,961.645,882.361,19.601,0.011,0.065,0.016,78.51215,-65.43141
A,10923,970.599,875.942,20.300,0.023,0.126,0.027,78.51411,-65.43201
A,10924,969.894,877.891,20.940,0.170,1.160,0.192,78.51396,-65.43183
A,2932,993.497,876.281,22.660,0.117,0.613,0.167,78.51919,-65.43201
A,6967,994.631,871.987,21.751,0.054,0.338,0.071,78.51943,-65.43241
A,2970,975.220,884.299,20.501,0.023,0.191,0.027,78.51516,-65.43125
A,2997,971.951,891.779,22.631,0.103,0.540,0.146,78.51446,-65.43056
A,5813,958.976,893.522,19.359,0.012,0.863,0.018,78.51159,-65.43038
A,5815,977.383,895.231,21.627,0.043,0.537,0.058,78.51567,-65.43024
A,8599,962.645,908.410,22.468,0.088,0.184,0.120,78.51244,-65.42901
A,10059,974.118,914.698,20.947,0.117,0.878,0.122,78.51500,-65.42844
A,10692,975.949,904.449,21.513,0.104,0.576,0.112,78.51538,-65.42939
A,2989,1024.068,894.902,20.014,0.032,0.335,0.055,78.52602,-65.43033
A,3017,1011.136,900.308,22.284,0.075,0.719,0.136,78.52317,-65.42981
A,8587,1021.812,889.953,21.246,0.039,0.556,0.063,78.52550,-65.43078
A,5848,1018.736,908.620,21.054,0.027,0.480,0.043,78.52488,-65.42906
A,7004,1017.446,915.957,22.095,0.074,0.379,0.097,78.52461,-65.42838
A,7005,1015.748,921.169,22.022,0.068,0.762,0.102,78.52425,-65.42789
A,3066,1020.863,923.936,21.313,0.030,0.277,0.046,78.52539,-65.42765
A,5857,988.666,912.275,20.946,0.030,0.278,0.037,78.51822,-65.42868
A,8614,991.927,923.352,20.414,0.023,0.128,0.027,78.51898,-65.42767
A,3089,974.568,923.325,21.903,0.053,0.609,0.083,78.51513,-65.42765
A,5896,981.773,924.846,22.280,0.069,1.050,0.134,78.51673,-65.42752
A,7017,971.388,927.808,19.208,0.013,-0.059,0.015,78.51444,-65.42723
A,5926,971.962,938.877,20.133,0.022,0.152,0.030,78.51460,-65.42621
A,5953,972.913,950.714,19.285,0.016,0.047,0.019,78.51484,-65.42512
A,7032,994.772,944.762,17.281,0.015,0.009,0.017,78.51967,-65.42570
A,8632,1008.586,937.415,18.378,0.011,1.160,0.018,78.52271,-65.42639
A,14472,1011.054,933.974,21.416,0.048,0.411,0.076,78.52325,-65.42671
A,3181,1010.924,953.028,20.117,0.023,0.274,0.031,78.52327,-65.42495
A,8641,1007.974,946.625,20.921,0.028,0.371,0.038,78.52260,-65.42554
A,9609,997.595,966.099,20.854,0.048,0.139,0.065,78.52035,-65.42373
A,9606,992.374,950.027,20.739,0.034,0.344,0.047,78.51915,-65.42521
A,3200,991.691,961.190,21.352,0.031,0.698,0.058,78.51903,-65.42418
A,3226,980.749,970.464,18.867,0.013,0.079,0.021,78.51663,-65.42331
A,3259,978.715,984.305,20.983,0.023,0.414,0.037,78.51622,-65.42203
A,7071,977.937,980.415,21.291,0.028,0.518,0.049,78.51604,-65.42239
A,2912,950.968,864.151,22.408,0.056,0.540,0.108,78.50973,-65.43308
A,5770,942.386,874.966,21.497,0.030,0.326,0.048,78.50785,-65.43207
A,5773,952.914,876.039,21.595,0.042,0.558,0.055,78.51019,-65.43198
A,3032,931.513,905.674,22.106,0.050,0.535,0.079,78.50553,-65.42923
A,7009,920.251,919.928,22.304,0.063,0.675,0.107,78.50308,-65.42790
A,3061,941.938,912.658,18.770,0.013,0.009,0.025,78.50787,-65.42860
A,10060,958.242,919.239,17.773,0.012,0.017,0.014,78.51150,-65.42801
A,10693,961.230,921.893,21.459,0.106,0.228,0.162,78.51217,-65.42777
A,3064,928.600,914.992,20.997,0.025,0.432,0.038,78.50492,-65.42836
A,3121,926.779,934.346,22.745,0.089,0.811,0.158,78.50457,-65.42658
A,3166,927.765,948.631,22.136,0.063,0.717,0.111,78.50483,-65.42526
A,5923,943.106,937.861,19.580,0.015,0.084,0.019,78.50820,-65.42627
A,3040,907.715,907.244,22.452,0.076,0.348,0.107,78.50026,-65.42905
A,6987,911.151,900.843,22.233,0.066,0.640,0.107,78.50101,-65.42965
A,3086,898.708,921.858,20.359,0.021,0.209,0.027,78.49831,-65.42770
A,5882,912.563,921.142,21.388,0.035,0.509,0.049,78.50138,-65.42778
A,7003,905.110,915.827,19.358,0.013,0.139,0.015,78.49971,-65.42826
A,8623,900.716,932.373,21.773,0.058,0.354,0.081,78.49879,-65.42673
A,3085,881.855,921.571,21.221,0.027,0.393,0.043,78.49457,-65.42770
A,7020,878.448,929.441,20.642,0.035,0.493,0.055,78.49384,-65.42697
A,3148,874.617,941.534,19.711,0.014,0.292,0.017,78.49303,-65.42585
A,3172,875.977,950.379,21.367,0.033,0.465,0.048,78.49336,-65.42504
A,5936,881.762,942.187,22.151,0.056,0.591,0.096,78.49461,-65.42580
A,8618,890.711,927.908,20.670,0.024,0.347,0.038,78.49656,-65.42713
A,3136,919.033,938.917,21.466,0.046,0.394,0.061,78.50287,-65.42615
A,3154,911.696,942.967,21.944,0.050,0.425,0.073,78.50125,-65.42577
A,7035,901.332,947.238,20.934,0.039,0.299,0.046,78.49897,-65.42536
A,3182,922.116,953.359,22.046,0.057,0.447,0.072,78.50359,-65.42482
A,5984,906.435,962.960,22.076,0.069,0.782,0.105,78.50014,-65.42392
A,5973,876.531,958.051,21.772,0.049,0.563,0.069,78.49350,-65.42433
A,3225,887.730,970.372,21.149,0.024,0.628,0.049,78.49602,-65.42321
A,10062,886.093,979.368,19.192,0.070,-0.849,0.074,78.49568,-65.42238
A,10695,888.056,978.924,16.848,0.014,1.940,0.024,78.49612,-65.42242
A,5951,945.629,949.305,22.482,0.067,0.861,0.126,78.50879,-65.42522
A,8619,960.077,929.779,17.344,0.014,1.050,0.016,78.51194,-65.42704
A,9603,955.221,935.974,18.926,0.014,0.040,0.017,78.51088,-65.42646
A,14482,953.203,941.742,21.903,0.066,0.465,0.091,78.51045,-65.42593
A,3192,947.535,956.903,21.716,0.061,0.699,0.101,78.50923,-65.42452
A,9299,948.072,964.243,17.037,0.016,1.190,0.018,78.50937,-65.42385
A,5982,936.965,961.622,18.238,0.013,0.039,0.015,78.50691,-65.42407
A,3248,931.865,976.638,21.184,0.025,0.471,0.042,78.50582,-65.42268
A,6020,927.502,982.035,20.731,0.024,0.442,0.033,78.50487,-65.42218
A,7061,934.632,967.169,20.883,0.033,0.434,0.048,78.50640,-65.42356
A,8654,936.004,978.984,21.921,0.058,0.510,0.075,78.50674,-65.42247
A,9298,942.017,964.262,20.236,0.051,0.286,0.057,78.50803,-65.42384
A,3196,969.130,958.895,21.146,0.041,0.420,0.052,78.51403,-65.42436
A,8653,962.563,974.660,22.454,0.083,0.671,0.143,78.51262,-65.42290
A,8657,955.244,982.542,21.463,0.035,0.309,0.055,78.51102,-65.42217
A,3237,969.317,977.973,21.169,0.033,0.370,0.053,78.51412,-65.42260
A,3274,963.696,986.567,21.988,0.063,0.688,0.094,78.51290,-65.42180
A,7066,970.296,974.470,21.001,0.034,0.201,0.044,78.51433,-65.42293
