2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks
J10264222-0207108,13.256,0.375,3.61,12.415,0.467,12.197,0.309,g1026422-020711,1,p,10.44507,-2.11972,15742,0.230,0.322,0.164,3.363,3.364,3.675,2.391,2.0,,,,,2.7128,0.2120,1,1,1
J10272247-0925037,13.074,0.539,6.00,12.408,0.493,12.108,0.502,g1027225-092504,1,p,10.45624,-9.41764,16403,0.411,0.365,0.374,3.111,3.318,3.325,2.347,1.0,,,,,3.7480,0.1205,0,0,0
J10272965-0648267,13.379,0.478,4.87,12.639,0.484,12.246,0.505,g1027297-064827,1,,10.45824,-6.80747,16523,0.353,0.359,0.380,3.114,3.246,3.265,2.098,2.0,,,,,4.8972,0.0670,0,0,0
J10273106-0119294,12.431,0.602,3.25,11.879,0.513,11.553,0.511,g1027311-011929,1,p,10.45863,-1.32483,10915,0.306,0.217,0.215,3.209,3.459,3.524,2.309,2.0,,,,,3.9885,0.0885,1,1,1
J10273377-0341094,12.511,0.721,3.26,11.806,0.745,11.502,0.739,g1027338-034110,1,p,10.45938,-3.68603,9267,0.361,0.385,0.379,2.926,3.014,3.085,2.195,3.5,618,3,1,9356,1.2738,0.9167,1,1,1
J10273544-0303184,12.883,0.605,5.06,12.078,0.651,11.934,0.509,g1027355-030319,1,p,10.45985,-3.05519,15023,0.441,0.487,0.345,3.045,3.125,3.378,2.318,1.0,,,,,2.5950,0.2251,1,1,1
J10273899-1902566,13.179,0.447,3.23,12.579,0.447,12.260,0.408,g1027390-190256,1,,10.46084,-19.04897,14566,0.270,0.270,0.231,3.247,3.335,3.453,2.116,0.0,,,,,5.9171,0.0459,1,1,1
J10274944-1446589,13.466,0.644,3.43,12.615,0.720,12.666,0.502,g1027494-144659,1,,10.46373,-14.78303,12113,0.392,0.468,0.250,2.730,2.765,3.103,2.172,2.0,,,,,7.9910,0.0293,1,1,0
J10280556-0344222,13.589,0.416,6.00,12.896,0.376,12.872,0.206,g1028056-034422,1,p,10.46821,-3.73956,11786,0.152,0.112,-0.058,3.121,3.330,3.606,2.220,0.0,,,,,,,1,0,0
J10282398-3531469,11.950,0.695,3.70,11.195,0.728,11.110,0.658,g1028240-353147,1,p,10.47332,-35.52967,2779,-0.145,-0.112,-0.182,3.172,3.262,3.401,2.064,0.0,18,2,5,3016,3.7846,0.1263,1,1,1
J10284649-4219552,12.645,0.433,3.23,11.790,0.500,11.651,0.400,g1028465-421955,1,p,10.47958,-42.33197,6264,-0.104,-0.037,-0.137,3.453,3.507,3.710,2.168,1.0,261,2,1,6143,4.7973,0.1002,1,1,1
J10293006-0345367,11.098,0.962,3.63,10.330,0.969,10.013,0.982,g1029301-034537,1,p,10.49168,-3.76022,9568,0.596,0.603,0.616,3.009,3.155,3.195,2.398,0.0,565,1,1,9208,2.1586,0.3105,1,1,1
J10294101-2111151,13.353,0.653,6.00,12.881,0.483,12.372,0.575,g1029410-211115,1,p,10.49473,-21.18761,14834,0.484,0.314,0.406,2.764,3.141,3.073,2.099,2.0,,,,,6.0544,0.0402,1,0,1
J10294454-0138377,12.927,0.785,1.47,12.168,0.821,12.245,0.689,g1029445-013838,1,,10.49570,-1.64378,9447,0.429,0.465,0.333,2.635,2.719,2.889,2.040,4.0,,,,,3.1113,0.1612,0,0,0
J10294837-3525077,11.486,0.744,2.19,10.838,0.711,10.579,0.713,g1029484-352508,1,p,10.49678,-35.41880,3349,-0.096,-0.129,-0.127,3.264,3.441,3.505,2.191,0.0,18,2,5,3016,3.2163,0.2442,1,1,1
J10295707-3513277,9.958,1.041,4.84,9.387,0.946,9.055,0.989,g1029571-351328,1,p,10.49918,-35.22439,4129,0.201,0.106,0.149,3.283,3.553,3.564,2.230,3.0,18,2,5,3016,3.3174,0.2296,1,1,1
J10295821-1438060,13.624,0.280,5.29,12.688,0.459,12.376,0.393,g1029582-143806,1,,10.49950,-14.63506,15561,0.130,0.309,0.243,3.415,3.276,3.440,2.280,0.0,,,,,6.8526,0.0349,1,1,1
J10300266-1459066,12.950,0.521,5.19,12.351,0.440,12.132,0.405,g1030027-145907,1,p,10.50074,-14.98522,15861,0.379,0.298,0.263,3.199,3.448,3.511,2.242,2.0,,,,,7.5956,0.0281,1,1,1
J10301362-0927576,13.843,0.254,5.26,13.025,0.370,12.662,0.372,g1030136-092758,1,,10.50379,-9.46608,16643,0.132,0.248,0.250,3.376,3.319,3.364,2.331,2.0,,,,,3.5050,0.1683,0,0,0
J10301638-0314338,13.696,0.340,2.71,13.049,0.238,12.634,0.286,g1030164-031434,1,p,10.50456,-3.24264,11307,0.063,-0.039,0.009,3.228,3.543,3.541,2.202,2.0,840,5,1,11426,0.6475,4.2173,0,0,0
J10302731-1038206,13.236,0.348,6.00,12.509,0.370,11.985,0.486,g1030273-103821,1,p,10.50759,-10.63906,16133,0.213,0.235,0.351,3.428,3.523,3.406,2.226,0.0,,,,,4.1587,0.1136,0,0,0
J10302915-3536383,9.913,0.988,4.51,9.182,0.986,8.933,0.986,g1030292-353638,1,p,10.50810,-35.61064,2749,0.148,0.146,0.146,3.405,3.554,3.617,2.398,2.0,18,2,5,3016,3.9613,0.1610,1,1,1
J10304172-0310582,13.761,0.304,2.96,12.970,0.318,12.849,0.213,g1030417-031059,1,,10.51159,-3.18294,10857,0.006,0.020,-0.085,3.271,3.411,3.600,2.214,2.0,,,,,,,0,0,0
J10304209-0812009,13.610,0.667,3.19,13.042,0.563,12.787,0.516,g1030421-081201,1,,10.51169,-8.20028,16614,0.544,0.440,0.393,2.647,2.929,3.028,2.154,3.0,,,,,,,0,0,0
J10312223-0333168,13.598,0.295,6.00,12.839,0.283,12.740,0.181,g1031223-033317,1,p,10.52285,-3.55472,11427,0.018,0.006,-0.096,3.358,3.537,3.709,2.357,1.0,,,,,1.0076,2.1475,1,1,0
J10314764-0241593,12.932,0.596,4.90,12.175,0.605,12.046,0.544,g1031477-024159,1,p,10.52991,-2.69981,11726,0.330,0.339,0.278,3.024,3.161,3.261,2.217,1.0,,,,,1.7896,0.4824,1,1,1
J10314816-3601546,11.852,0.998,1.14,11.047,1.003,10.770,1.009,g1031482-360154,1,p,10.53005,-36.03178,3408,0.158,0.163,0.169,2.608,2.773,2.836,2.028,2.0,18,2,5,3016,3.5205,0.2038,0,0,0
J10320185-1231447,13.313,0.583,1.71,12.619,0.554,12.346,0.559,g1032019-123145,1,p,10.53385,-12.52911,9058,0.215,0.186,0.191,2.885,3.072,3.109,2.092,2.0,531,3,4,9176,4.5541,0.0704,1,1,1
J10321232-0914205,11.265,0.863,5.04,10.638,0.816,10.333,0.808,g1032123-091420,1,p,10.53676,-9.23897,9569,0.513,0.466,0.458,3.143,3.341,3.415,2.373,0.0,,,,,4.4131,0.0801,1,1,1
J10321276-0129363,12.093,0.923,3.08,11.270,0.953,11.041,0.920,g1032128-012936,1,p,10.53688,-1.49342,12026,0.668,0.698,0.665,2.711,2.830,2.912,2.061,4.0,,,,,4.0288,0.0868,1,1,1
J10321660-0502203,11.704,0.663,6.00,11.016,0.625,10.680,0.635,g1032166-050221,1,p,10.53794,-5.03903,9119,0.293,0.255,0.265,3.362,3.568,3.621,2.463,0.5,,,,,3.5362,0.1286,1,1,1
J10324383-1238138,11.294,1.032,4.05,10.758,0.914,10.293,1.016,g1032438-123814,1,p,10.54551,-12.63722,9208,0.664,0.546,0.648,2.794,3.097,3.016,2.368,0.5,531,3,4,9176,5.3469,0.0476,1,1,1
J10324540-1243018,11.125,0.836,4.68,10.430,0.804,10.091,0.818,g1032454-124302,1,,10.54595,-12.71722,9178,0.468,0.436,0.450,3.254,3.447,3.493,2.500,0.0,531,3,4,9176,5.3816,0.0466,1,1,1
J10325382-0630261,11.023,0.831,4.20,10.261,0.829,10.115,0.719,g1032538-063026,1,p,10.54828,-6.50731,5312,0.232,0.230,0.120,3.274,3.439,3.675,2.353,2.0,,,,,4.0675,0.1300,1,1,1
J10330726-2147499,13.340,0.544,2.71,12.667,0.472,12.282,0.533,g1033073-214750,1,,10.55202,-21.79725,14834,0.375,0.303,0.364,2.988,3.249,3.193,2.181,1.0,,,,,6.6002,0.0335,1,1,1
J10331172-1240186,11.895,0.764,2.17,11.214,0.735,10.856,0.731,g1033117-124018,1,p,10.55326,-12.67178,9478,0.396,0.367,0.363,3.090,3.272,3.361,2.164,2.0,531,3,4,9176,5.3432,0.0489,1,1,1
J10333004-2653510,10.669,0.827,5.10,9.997,0.789,9.701,0.812,g1033301-265351,1,p,10.55835,-26.89753,3912,0.111,0.073,0.096,3.422,3.622,3.655,2.263,2.0,175,12,8,4032,0.7927,2.2816,1,1,1
J10333312-0952443,13.818,0.400,6.00,13.190,0.328,12.771,0.416,g1033331-095245,1,p,10.55921,-9.87903,16434,0.273,0.201,0.289,3.091,3.335,3.231,2.122,2.0,,,,,,,0,0,0
J10333582-2727160,9.560,1.207,4.68,8.848,1.189,8.587,1.188,g1033358-272716,1,p,10.55996,-27.45444,3731,0.458,0.440,0.439,3.107,3.282,3.350,2.346,4.0,,,,,,,1,1,1
J10334297-4440371,13.143,0.506,5.51,12.207,0.664,11.907,0.614,g1033430-444037,1,,10.56194,-44.67692,12701,0.273,0.431,0.381,3.154,3.053,3.189,2.034,1.0,,,,,,,0,0,0
J10335707-0814333,11.789,0.720,6.00,11.098,0.691,10.936,0.632,g1033571-081433,1,p,10.56585,-8.24261,5312,0.121,0.092,0.033,3.192,3.382,3.521,2.166,2.0,,,,,4.5083,0.0753,1,1,1
