6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g2119344-552203,1,1.025,0.038,-0.652,0.097,0.400,0.076,-0.275,0.038,2,319.8932083,-55.3674167
g2119382-670313,1,0.400,0.068,0.100,0.106,0.000,0.060,0.100,0.066,2,319.9093333,-67.0536111
g2119475-684744,1,0.850,0.121,-0.338,0.159,0.120,0.138,-0.225,0.076,9,319.9480417,-68.7954444
g2119517-513108,1,0.925,0.110,-0.220,0.136,0.180,0.080,-0.050,0.078,5,319.9653750,-51.5189444
g2119531-304620,1,0.475,0.094,0.250,0.110,0.000,0.057,0.250,0.073,4,319.9711250,-30.7722778
g2119570-432716,1,0.900,0.112,-0.151,0.105,0.240,0.061,0.075,0.065,4,319.9872917,-43.4545278
g2120003-050746,1,0.475,0.063,0.022,0.095,0.030,0.056,0.050,0.057,4,320.0012500,-5.1295556
g2120029-692416,1,1.100,0.025,-0.476,0.066,0.240,0.064,-0.250,0.033,3,320.0122500,-69.4043611
g2120054-195004,1,0.825,0.153,-0.008,0.172,0.300,0.089,0.275,0.102,6,320.0226250,-19.8344444
g2120285-201012,1,0.950,0.079,-0.276,0.111,0.240,0.078,-0.050,0.056,3,320.1186667,-20.1700278
g2120312-432653,1,0.950,0.097,-0.123,0.115,0.210,0.068,0.075,0.069,5,320.1298333,-43.4481667
g2120425-530048,1,0.500,0.136,-0.132,0.185,0.060,0.093,-0.075,0.111,5,320.1769167,-53.0132778
g2120523-303429,1,0.600,0.087,-0.039,0.097,0.360,0.041,0.300,0.069,4,320.2180417,-30.5748056
g2120565-724552,1,0.625,0.085,-0.016,0.108,0.150,0.072,0.125,0.070,3,320.2353750,-72.7643056
g2121038-724608,1,0.400,0.067,-0.079,0.108,0.270,0.054,0.175,0.068,4,320.2660000,-72.7688056
