6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g1205118-093946,1,0.500,0.135,0.491,0.169,-0.150,0.105,0.350,0.145,9,181.2990417,-9.6627222
g1205537-124023,1,0.625,0.100,-0.057,0.106,0.060,0.056,0.000,0.078,5,181.4736667,-12.6731667
g1205572-123950,1,1.025,0.059,-0.170,0.061,0.340,0.042,0.150,0.033,3,181.4883750,-12.6639444
g1206013-494353,1,1.175,0.000,-0.321,0.043,0.420,0.039,0.075,0.037,7,181.5053333,-49.7313056
g1206189-281150,2,0.325,0.055,0.308,0.090,-0.300,0.050,0.025,0.071,8,181.5787083,-28.1971389
g1206215-174837,1,0.675,0.093,-0.183,0.122,0.300,0.071,0.100,0.071,6,181.5897500,-17.8103333
g1206341-435426,1,0.875,0.089,-0.041,0.106,0.150,0.061,0.100,0.061,4,181.6420000,-43.9073056
g1207123-141107,1,1.175,0.014,-0.345,0.042,0.340,0.034,-0.025,0.023,5,181.8010833,-14.1853889
g1207439-274327,1,1.150,0.036,-0.345,0.095,0.340,0.076,-0.025,0.047,3,181.9330417,-27.7242500
g1208451-161928,1,0.550,0.111,0.049,0.132,0.320,0.072,0.350,0.099,5,182.1878333,-16.3243333
g1209003-313112,1,0.450,0.046,0.022,0.081,0.030,0.047,0.050,0.058,5,182.2511667,-31.5198889
g1209211-123559,1,0.125,0.043,0.195,0.123,-0.180,0.074,0.025,0.085,5,182.3377500,-12.5995833
g1209483-162812,1,0.600,0.101,0.137,0.126,0.120,0.058,0.250,0.089,4,182.4514167,-16.4699167
g1210043-343254,1,1.050,0.059,-0.198,0.102,0.210,0.067,0.000,0.060,2,182.5179583,-34.5482222
g1210284-180305,1,0.300,0.062,-0.183,0.134,0.300,0.087,0.100,0.065,10,182.6182917,-18.0512778
g1210322-011851,1,1.125,0.013,-0.333,0.089,0.300,0.070,-0.050,0.038,6,182.6340000,-1.3142500
g1210393-340327,1,-0.175,0.032,0.187,0.077,0.120,0.038,0.300,0.059,2,182.6638750,-34.0573611
g1210536-123918,1,-0.100,0.032,0.193,0.081,0.060,0.042,0.250,0.055,2,182.7233750,-12.6550556
g1211016-015248,1,0.225,0.070,0.250,0.160,0.000,0.070,0.250,0.125,6,182.7566667,-1.8798611
g1211245-173941,1,1.175,0.012,-0.408,0.053,0.300,0.047,-0.125,0.030,4,182.8521667,-17.6614167
g1211324-464209,1,0.700,0.105,0.105,0.104,0.180,0.049,0.275,0.073,4,182.8850417,-46.7025278
g1212048-515553,1,0.775,0.110,0.024,0.131,0.240,0.064,0.250,0.084,2,183.0199167,-51.9315000
g1212067-213641,1,0.675,0.094,0.100,0.119,0.000,0.070,0.100,0.075,4,183.0279583,-21.6113611
g1212183-515909,1,1.150,0.058,-0.051,0.065,0.320,0.044,0.250,0.038,9,183.0760833,-51.9859167
g1212275-420229,1,1.175,0.004,-0.289,0.058,0.440,0.044,0.125,0.031,7,183.1145833,-42.0413889
g1212467-461016,1,0.900,0.116,-0.051,0.121,0.240,0.061,0.175,0.079,3,183.1946667,-46.1711667
g1212477-313430,1,0.250,0.062,0.395,0.109,-0.180,0.064,0.225,0.099,4,183.1989167,-31.5751111
g1213353-382601,1,1.175,0.088,-0.886,0.157,0.590,0.128,-0.330,0.078,9,183.3971667,-38.4336389
g1214044-465755,1,0.675,0.124,-0.076,0.177,0.320,0.098,0.225,0.106,5,183.5183750,-46.9652778
g1215167-430126,1,0.925,0.084,-0.295,0.092,0.180,0.069,-0.125,0.044,3,183.8195000,-43.0238889
g1215295-224410,1,0.850,0.116,0.168,0.109,0.060,0.061,0.225,0.079,5,183.8729167,-22.7360000
g1215399-515525,1,0.250,0.047,-0.176,0.135,0.240,0.080,0.050,0.073,5,183.9164167,-51.9235556
g1215498-514043,1,0.650,0.076,-0.064,0.105,0.360,0.055,0.275,0.063,5,183.9575000,-51.6785000
g1216073-520958,1,0.775,0.135,-0.508,0.173,0.460,0.115,-0.075,0.076,6,184.0302917,-52.1661944
g1216088-183146,1,0.700,0.103,-0.108,0.107,0.380,0.050,0.250,0.077,7,184.0365833,-18.5295278
g1216157-513650,1,0.725,0.109,-0.176,0.106,0.240,0.055,0.050,0.069,4,184.0655833,-51.6137778
g1216240-183335,1,0.575,0.089,0.237,0.095,0.120,0.042,0.350,0.071,2,184.0997917,-18.5596389
g1216365-005721,1,0.200,0.054,0.140,0.131,0.090,0.065,0.225,0.081,3,184.1521250,-0.9559444
g1216424-054525,1,0.500,0.097,0.157,0.120,-0.060,0.061,0.100,0.087,3,184.1768333,-5.7570278
g1216477-064621,1,1.125,0.049,-0.399,0.095,0.530,0.060,0.100,0.052,7,184.1987917,-6.7724722
g1216486-224028,1,0.225,0.062,-0.233,0.190,0.380,0.081,0.125,0.142,5,184.2025000,-22.6743333
g1216491-512208,1,1.175,0.008,-0.279,0.059,0.270,0.048,-0.025,0.026,3,184.2043750,-51.3688889
g1217316-510243,1,0.800,0.135,0.400,0.109,0.000,0.052,0.400,0.078,7,184.3816667,-51.0453333
g1217416-470256,1,1.100,0.040,-0.341,0.086,0.150,0.060,-0.200,0.045,4,184.4232500,-47.0489167
g1219081-214432,1,1.175,0.009,-0.026,0.047,0.320,0.036,0.275,0.023,4,184.7838333,-21.7423056
g1219579-005122,1,0.900,0.109,-0.183,0.128,0.300,0.074,0.100,0.069,7,184.9912083,-0.8560278
g1220005-172919,1,0.525,0.096,-0.177,0.115,0.400,0.064,0.200,0.090,7,185.0020833,-17.4885556
g1220250-113959,1,1.150,0.004,-0.514,0.061,0.360,0.053,-0.175,0.021,5,185.1042500,-11.6665000
g1220361-211721,1,0.450,0.094,0.074,0.116,0.240,0.047,0.300,0.081,3,185.1505417,-21.2892778
g1220373-184001,1,0.325,0.067,0.112,0.129,0.120,0.069,0.225,0.078,2,185.1553333,-18.6670556
g1220398-113831,1,0.325,0.062,0.043,0.114,0.060,0.064,0.100,0.070,3,185.1658333,-11.6419167
g1221087-523510,1,1.175,0.000,-0.158,0.038,0.300,0.035,0.125,0.023,7,185.2860833,-52.5860833
g1221130-005151,1,0.225,0.054,-0.387,0.169,0.650,0.072,0.225,0.141,8,185.3040417,-0.8641944
g1221151-130047,1,0.950,0.086,-0.258,0.083,0.300,0.058,0.025,0.048,4,185.3127917,-13.0131389
g1221198-283547,1,1.125,0.014,-0.448,0.069,0.210,0.063,-0.250,0.029,3,185.3325417,-28.5962778
g1221215-515138,1,0.925,0.134,-0.095,0.130,0.340,0.069,0.225,0.085,10,185.3397500,-51.8606111
g1221297-162508,1,0.300,0.050,0.207,0.100,-0.060,0.056,0.150,0.061,5,185.3737083,-16.4190000
g1221481-510121,1,0.725,0.112,-0.126,0.131,0.320,0.068,0.175,0.078,7,185.4505417,-51.0225278
g1221487-514421,1,0.275,0.063,-0.089,0.142,0.440,0.058,0.325,0.109,4,185.4530000,-51.7392500
g1222022-461258,1,0.750,0.064,-0.101,0.086,0.320,0.046,0.200,0.051,2,185.5092917,-46.2160000
g1222164-175926,1,0.625,0.095,0.137,0.100,0.120,0.045,0.250,0.078,3,185.5683750,-17.9906667
g1222232-513656,1,0.275,0.085,-0.314,0.239,0.360,0.154,0.025,0.119,7,185.5968333,-51.6156111
g1222543-435028,1,0.975,0.083,-0.151,0.104,0.240,0.067,0.075,0.057,6,185.7262500,-43.8410833
g1223141-164133,1,0.725,0.080,-0.220,0.090,0.340,0.053,0.100,0.055,3,185.8086250,-16.6925000
g1223207-123331,1,1.175,0.008,-0.404,0.055,0.270,0.046,-0.150,0.025,5,185.8362917,-12.5586111
g1223216-054101,1,0.550,0.062,0.137,0.082,0.120,0.043,0.250,0.054,5,185.8400000,-5.6835278
g1224259-173303,1,0.500,0.103,0.015,0.121,0.090,0.070,0.100,0.079,9,186.1077083,-17.5508611
g1224322-444736,1,0.750,0.134,0.077,0.162,0.210,0.081,0.275,0.094,9,186.1342083,-44.7931944
g1224547-153604,1,0.675,0.086,-0.001,0.085,0.320,0.043,0.300,0.064,3,186.2278333,-15.6009722
g1225001-160601,1,0.700,0.130,0.067,0.127,0.300,0.070,0.350,0.081,6,186.2503333,-16.1001389
g1225054-501746,1,0.750,0.132,0.199,0.095,0.240,0.042,0.425,0.071,3,186.2724167,-50.2961667
g1225180-432644,1,0.250,0.030,0.246,0.093,0.270,0.048,0.500,0.079,9,186.3248750,-43.4454722
g1225212-472827,1,0.950,0.064,0.124,0.050,0.320,0.030,0.425,0.037,7,186.3381250,-47.4740833
g1225340-451548,1,0.900,0.072,-0.023,0.087,0.210,0.050,0.175,0.047,5,186.3917500,-45.2632778
g1225455-345817,1,0.900,0.119,-0.041,0.113,0.150,0.052,0.100,0.077,3,186.4395833,-34.9713611
g1226078-513250,1,0.150,0.054,0.276,0.131,-0.240,0.067,0.050,0.095,8,186.5323333,-51.5471667
g1226128-074106,1,0.275,0.062,0.215,0.150,0.090,0.056,0.300,0.124,6,186.5532917,-7.6849444
g1226162-074051,1,0.725,0.071,0.112,0.085,0.120,0.041,0.225,0.056,5,186.5673750,-7.6808333
g1226455-180741,1,1.075,0.025,-0.276,0.059,0.320,0.053,0.025,0.028,2,186.6894583,-18.1279444
g1226546-230030,1,1.000,0.062,-0.158,0.090,0.380,0.061,0.200,0.050,6,186.7273750,-23.0081944
g1227060-472339,1,1.050,0.035,-0.570,0.078,0.180,0.070,-0.400,0.060,6,186.7751667,-47.3940278
g1227114-452734,1,0.300,0.104,-0.047,0.215,-0.030,0.135,-0.075,0.132,5,186.7972917,-45.4593056
g1227117-074159,1,0.850,0.081,-0.048,0.073,0.210,0.043,0.150,0.047,1,186.7987500,-7.6996944
g1227121-054951,1,0.525,0.075,0.277,0.078,0.210,0.032,0.475,0.062,2,186.8003750,-5.8308889
g1227237-504154,1,1.175,0.011,-0.621,0.067,0.500,0.058,-0.150,0.026,4,186.8487500,-50.6982500
g1227247-142828,1,0.900,0.079,0.149,0.068,0.240,0.040,0.375,0.043,1,186.8528750,-14.4744444
g1227417-075736,1,0.800,0.117,-0.183,0.145,0.300,0.080,0.100,0.083,6,186.9237500,-7.9599167
g1228047-140759,1,0.900,0.140,-0.241,0.153,0.150,0.091,-0.100,0.096,6,187.0196667,-14.1331111
g1228399-101155,1,0.250,0.065,0.093,0.174,0.060,0.100,0.150,0.111,2,187.1660417,-10.1985833
g1228584-500916,1,0.475,0.106,-0.103,0.141,0.030,0.103,-0.075,0.094,4,187.2432917,-50.1543333
g1230183-055743,1,1.050,0.028,-0.339,0.045,0.360,0.030,0.000,0.027,2,187.5764167,-5.9620278
g1230185-494400,1,1.000,0.054,0.049,0.064,0.240,0.043,0.275,0.034,3,187.5771667,-49.7333333
g1230252-500800,1,0.700,0.128,0.121,0.119,0.270,0.057,0.375,0.082,3,187.6049167,-50.1333333
g1230266-060027,1,0.900,0.101,-0.175,0.115,0.000,0.085,-0.175,0.063,2,187.6108333,-6.0074722
g1231045-332316,1,0.675,0.144,0.318,0.134,0.060,0.061,0.375,0.097,7,187.7685833,-33.3876944
g1231060-332428,1,1.000,0.139,0.234,0.105,0.150,0.047,0.375,0.087,2,187.7750417,-33.4076667
g1231193-450824,1,0.725,0.145,0.237,0.137,0.120,0.062,0.350,0.099,5,187.8305000,-45.1399444
g1231225-144032,1,0.650,0.130,-0.139,0.134,0.360,0.082,0.200,0.076,10,187.8437917,-14.6755000
g1231230-450818,1,0.500,0.098,0.503,0.117,-0.030,0.040,0.475,0.106,4,187.8460000,-45.1381944
g1231237-352444,1,0.725,0.206,-0.159,0.193,0.620,0.075,0.425,0.149,10,187.8485417,-35.4121667
g1231364-461008,1,0.900,0.136,-0.172,0.160,-0.030,0.098,-0.200,0.085,3,187.9017083,-46.1689722
g1231377-035929,1,0.525,0.087,-0.045,0.120,0.180,0.065,0.125,0.074,5,187.9070417,-3.9913056
g1231483-102838,1,1.025,0.086,-0.521,0.106,0.420,0.070,-0.125,0.058,3,187.9513750,-10.4771944
g1232453-510323,1,0.675,0.163,0.343,0.182,0.060,0.078,0.400,0.132,7,188.1887083,-51.0565000
g1232524-472418,1,1.075,0.052,-0.310,0.076,0.090,0.059,-0.225,0.042,8,188.2181250,-47.4049722
g1233203-473015,1,0.575,0.120,0.022,0.158,0.030,0.083,0.050,0.101,6,188.3345417,-47.5041389
g1233251-312146,1,1.150,0.059,-0.020,0.070,0.340,0.049,0.300,0.038,4,188.3547083,-31.3628889
g1233284-312202,1,0.500,0.107,0.237,0.153,0.120,0.067,0.350,0.107,4,188.3684167,-31.3673056
g1233401-083927,1,0.525,0.146,0.212,0.176,0.120,0.073,0.325,0.137,8,188.4169583,-8.6574722
g1233499-072232,1,0.850,0.074,-0.058,0.072,0.300,0.043,0.225,0.040,5,188.4578750,-7.3755000
g1233513-461633,1,0.600,0.095,0.062,0.115,0.120,0.055,0.175,0.074,4,188.4635833,-46.2757222
g1234090-103609,1,0.725,0.113,-0.151,0.139,0.240,0.085,0.075,0.078,9,188.5374583,-10.6025833
g1234266-443237,1,1.175,0.015,-0.295,0.058,0.180,0.050,-0.125,0.028,5,188.6106250,-44.5435000
g1234308-073247,1,0.600,0.058,-0.101,0.071,0.240,0.047,0.125,0.046,1,188.6281667,-7.5465000
g1234488-444408,1,0.650,0.089,-0.320,0.101,0.180,0.061,-0.150,0.057,1,188.7032083,-44.7354722
g1235012-104324,1,1.050,0.014,0.002,0.048,0.210,0.039,0.200,0.028,3,188.7549583,-10.7232778
g1235070-074611,1,0.475,0.092,0.074,0.115,0.240,0.049,0.300,0.083,4,188.7789583,-7.7697222
g1235107-001316,1,0.600,0.081,-0.116,0.099,0.150,0.060,0.025,0.057,2,188.7944167,-0.2210833
g1235335-522203,1,0.400,0.096,-0.971,0.173,0.680,0.101,-0.330,0.104,4,188.8897500,-52.3674722
g1235400-062960,1,0.875,0.139,-0.022,0.172,-0.030,0.102,-0.050,0.104,9,188.9167500,-6.4998611
g1236076-392619,1,0.750,0.067,0.162,0.066,0.120,0.033,0.275,0.043,1,189.0316667,-39.4386667
g1236363-463745,1,0.925,0.144,-0.431,0.163,0.590,0.081,0.125,0.106,10,189.1511667,-46.6290278
g1236567-410543,1,1.000,0.110,-0.233,0.117,0.380,0.062,0.125,0.071,6,189.2363750,-41.0952500
g1237208-102909,1,0.950,0.113,0.049,0.105,0.240,0.048,0.275,0.072,5,189.3367083,-10.4858333
g1237279-442543,1,1.100,0.079,-0.220,0.117,0.180,0.075,-0.050,0.069,4,189.3663333,-44.4285833
g1237292-441414,1,0.700,0.137,-0.079,0.145,0.270,0.079,0.175,0.091,5,189.3717500,-44.2371667
g1237428-445547,1,0.925,0.096,-0.085,0.088,0.090,0.061,0.000,0.056,6,189.4283333,-44.9296944
g1237441-072755,1,1.150,0.026,-0.658,0.097,0.300,0.086,-0.375,0.040,6,189.4337917,-7.4652778
g1237457-143823,1,0.550,0.087,0.112,0.096,0.120,0.047,0.225,0.068,5,189.4402917,-14.6397778
g1238005-200751,1,0.475,0.107,0.087,0.159,0.120,0.079,0.200,0.099,5,189.5020833,-20.1307500
g1238153-103715,1,0.750,0.103,0.096,0.097,0.270,0.050,0.350,0.071,5,189.5635833,-10.6209444
g1238184-413012,1,1.000,0.043,-0.108,0.046,0.300,0.027,0.175,0.029,3,189.5767083,-41.5033333
g1238285-285618,1,0.850,0.115,-0.045,0.096,0.180,0.046,0.125,0.080,8,189.6188333,-28.9382778
g1238326-103158,1,0.825,0.110,-0.333,0.119,0.380,0.070,0.025,0.067,6,189.6356250,-10.5327222
g1239040-060210,1,0.225,0.108,0.560,0.211,-0.090,0.068,0.475,0.168,6,189.7665833,-6.0361111
g1239052-201117,2,0.375,0.107,0.105,0.176,0.340,0.058,0.425,0.153,5,189.7716667,-20.1881667
g1239400-154339,1,0.950,0.074,-0.421,0.080,0.420,0.055,-0.025,0.045,4,189.9167917,-15.7274167
g1239449-343425,1,0.200,0.052,0.084,0.139,0.150,0.062,0.225,0.097,3,189.9371667,-34.5735278
g1239479-101823,1,1.175,0.102,-0.429,0.122,0.270,0.066,-0.175,0.077,10,189.9494167,-10.3064722
g1239494-442324,1,0.950,0.078,-0.045,0.092,0.180,0.058,0.125,0.056,2,189.9558333,-44.3899444
g1239522-423916,1,0.525,0.085,-0.070,0.111,0.340,0.063,0.250,0.067,5,189.9673333,-42.6544167
g1239578-105632,1,0.725,0.126,-0.104,0.103,0.270,0.054,0.150,0.073,5,189.9909583,-10.9420833
g1239593-402054,1,1.175,0.016,-0.439,0.093,0.360,0.071,-0.100,0.039,7,189.9968750,-40.3482222
g1240013-112110,1,0.550,0.112,0.132,0.157,-0.060,0.090,0.075,0.099,2,190.0052500,-11.3526667
g1240208-142432,1,0.625,0.108,0.109,0.127,0.150,0.064,0.250,0.085,4,190.0866250,-14.4087500
g1240237-523548,1,0.500,0.127,-0.070,0.165,0.180,0.084,0.100,0.101,10,190.0987083,-52.5967500
g1240407-085201,1,0.775,0.106,0.105,0.097,0.180,0.053,0.275,0.068,5,190.1697083,-8.8668611
g1240537-443851,1,0.775,0.128,0.122,0.146,0.030,0.073,0.150,0.096,4,190.2236667,-44.6475833
g1240540-413624,1,0.400,0.062,0.123,0.095,0.400,0.033,0.500,0.085,2,190.2250417,-41.6066389
g1241012-063947,1,0.925,0.086,-0.145,0.087,0.180,0.051,0.025,0.053,2,190.2547917,-6.6631667
g1241031-101806,1,0.925,0.083,-0.223,0.083,0.210,0.051,-0.025,0.048,0,190.2627083,-10.3016944
g1241037-051321,1,0.700,0.137,0.407,0.131,-0.060,0.075,0.350,0.093,7,190.2653750,-5.2224722
g1241047-093350,1,0.800,0.137,0.340,0.112,0.090,0.055,0.425,0.076,4,190.2695000,-9.5638611
g1241123-165640,1,0.950,0.081,-0.912,0.146,0.650,0.104,-0.300,0.059,6,190.3012083,-16.9445278
g1241131-124327,1,0.550,0.140,-0.370,0.167,0.340,0.086,-0.050,0.102,8,190.3047500,-12.7242778
g1241133-105709,1,0.475,0.097,0.027,0.148,0.210,0.065,0.225,0.097,5,190.3054167,-10.9525833
g1241145-103043,1,1.175,0.008,-0.671,0.061,0.500,0.048,-0.200,0.024,9,190.3103750,-10.5120556
g1241182-083711,1,0.250,0.074,0.062,0.191,0.120,0.102,0.175,0.139,6,190.3257500,-8.6198056
g1241217-105730,1,1.175,0.010,-0.358,0.057,0.300,0.046,-0.075,0.030,7,190.3402083,-10.9581944
g1241232-110919,1,0.725,0.143,0.297,0.140,0.030,0.063,0.325,0.096,3,190.3464583,-11.1553889
g1241254-123945,1,1.175,0.037,-0.454,0.099,0.270,0.079,-0.200,0.038,8,190.3558333,-12.6626111
g1241280-162922,1,0.525,0.127,0.117,0.165,0.300,0.050,0.400,0.134,6,190.3664583,-16.4894167
g1241304-112210,1,0.350,0.139,0.583,0.168,-0.300,0.057,0.300,0.158,5,190.3766667,-11.3694722
g1241364-112330,1,0.750,0.103,0.115,0.121,0.090,0.061,0.200,0.076,3,190.4017917,-11.3917500
g1241402-123807,1,0.450,0.108,-0.152,0.158,0.400,0.079,0.225,0.100,5,190.4173750,-12.6351667
g1241487-112739,1,0.525,0.128,0.021,0.178,0.270,0.084,0.275,0.124,3,190.4529167,-11.4608611
g1241599-394901,1,0.875,0.135,0.066,0.131,-0.150,0.078,-0.075,0.083,8,190.4995417,-39.8170556
g1242016-202436,1,0.775,0.084,-0.310,0.108,0.090,0.074,-0.225,0.052,5,190.5066250,-20.4100278
g1242082-062246,1,0.475,0.133,0.258,0.124,-0.300,0.047,-0.025,0.103,5,190.5342917,-6.3795556
g1242084-172057,1,0.700,0.106,-0.051,0.110,0.320,0.062,0.250,0.067,5,190.5351667,-17.3492222
g1242088-154917,1,0.275,0.066,-0.008,0.151,0.300,0.069,0.275,0.110,2,190.5366667,-15.8213889
g1242125-172413,1,0.225,0.030,0.118,0.079,0.060,0.050,0.175,0.046,3,190.5520833,-17.4035556
g1242150-464830,1,0.350,0.063,-0.060,0.116,0.090,0.079,0.025,0.065,1,190.5624167,-46.8082222
g1242183-054706,1,0.850,0.126,-0.226,0.147,0.320,0.086,0.075,0.090,4,190.5761667,-5.7850278
g1242284-105356,1,1.100,0.037,-0.020,0.069,0.180,0.046,0.150,0.037,6,190.6181667,-10.8988333
g1242297-473329,1,0.400,0.109,-0.075,0.190,0.000,0.103,-0.075,0.108,5,190.6238750,-47.5581389
g1242360-112410,1,0.725,0.150,-0.183,0.175,0.460,0.075,0.250,0.121,5,190.6497917,-11.4027222
g1242376-404439,1,1.175,0.000,-0.176,0.044,0.320,0.035,0.125,0.027,4,190.6567500,-40.7442222
g1242391-112822,1,1.100,0.061,-0.271,0.072,0.500,0.048,0.200,0.039,5,190.6628333,-11.4728056
g1242394-025242,1,0.800,0.147,-0.076,0.161,0.320,0.070,0.225,0.106,8,190.6641250,-2.8782778
g1242416-112849,1,1.000,0.095,-0.308,0.110,0.300,0.064,-0.025,0.068,3,190.6731667,-11.4801667
g1242508-302435,1,0.875,0.076,-0.185,0.071,0.090,0.046,-0.100,0.040,3,190.7115833,-30.4096667
g1242582-113532,1,0.675,0.133,0.372,0.122,0.030,0.053,0.400,0.091,4,190.7426250,-11.5922500
g1243056-412132,1,0.425,0.056,-0.070,0.081,0.340,0.041,0.250,0.050,2,190.7732083,-41.3589167
g1243110-171436,1,1.175,0.027,-0.195,0.083,0.340,0.058,0.125,0.039,1,190.7959583,-17.2433056
g1243166-061941,1,0.575,0.149,0.124,0.161,0.320,0.060,0.425,0.124,6,190.8190833,-6.3280278
g1243191-105351,1,0.725,0.105,0.382,0.097,-0.060,0.046,0.325,0.070,5,190.8293750,-10.8973889
g1243193-063904,1,0.775,0.117,0.022,0.140,0.030,0.072,0.050,0.082,4,190.8302917,-6.6510000
g1243491-404253,1,0.975,0.044,-0.201,0.050,0.240,0.032,0.025,0.034,2,190.9546250,-40.7146111
g1244030-214058,1,0.550,0.095,0.199,0.106,0.240,0.050,0.425,0.085,3,191.0126667,-21.6827500
g1244042-014321,1,0.600,0.118,0.068,0.141,0.060,0.077,0.125,0.101,4,191.0172917,-1.7224444
g1244100-414460,1,1.000,0.035,-0.113,0.050,0.120,0.033,0.000,0.028,3,191.0416667,-41.7499444
g1244193-071160,1,0.850,0.109,0.255,0.100,0.180,0.051,0.425,0.064,4,191.0805417,-7.1999167
g1244265-323219,1,1.175,0.004,-0.226,0.062,0.320,0.051,0.075,0.031,4,191.1105417,-32.5387222
g1244280-154303,1,0.800,0.136,0.098,0.127,-0.210,0.063,-0.100,0.092,7,191.1168333,-15.7174167
g1244323-070610,1,1.125,0.056,-1.004,0.100,0.800,0.080,-0.250,0.042,9,191.1347500,-7.1028611
g1244449-362945,1,1.175,0.020,-0.452,0.081,0.480,0.063,0.000,0.036,7,191.1869167,-36.4959444
g1245054-430523,1,0.750,0.133,0.240,0.128,0.090,0.064,0.325,0.090,8,191.2723333,-43.0895833
g1245136-124634,1,0.675,0.093,0.074,0.081,0.320,0.037,0.375,0.059,4,191.3067083,-12.7759722
g1245177-363527,1,0.775,0.121,-0.102,0.115,0.400,0.054,0.275,0.082,6,191.3236667,-36.5907778
g1245218-120552,1,0.600,0.130,0.049,0.144,0.320,0.064,0.350,0.107,5,191.3406667,-12.0978889
g1245341-080530,1,0.575,0.185,0.208,0.234,-0.300,0.080,-0.075,0.225,8,191.3921667,-8.0917500
g1245524-014049,1,0.825,0.140,0.400,0.130,0.000,0.055,0.400,0.087,8,191.4681250,-1.6802778
g1245548-211144,1,0.625,0.093,-0.138,0.101,0.120,0.055,-0.025,0.067,2,191.4782500,-21.1956111
g1245548-324605,1,0.450,0.108,0.028,0.167,-0.030,0.099,0.000,0.095,6,191.4781250,-32.7680000
g1245590-072710,1,1.050,0.069,0.210,0.078,-0.090,0.049,0.125,0.046,8,191.4958333,-7.4526944
g1246239-122840,1,0.800,0.122,0.067,0.107,0.300,0.044,0.350,0.073,5,191.5994167,-12.4777778
g1246260-404509,1,0.625,0.071,0.118,0.081,0.060,0.039,0.175,0.058,3,191.6084583,-40.7525278
g1246295-122818,1,0.900,0.159,0.047,0.189,0.030,0.091,0.075,0.136,8,191.6229167,-12.4715278
g1246446-014552,1,0.625,0.142,0.093,0.172,0.060,0.077,0.150,0.120,7,191.6857083,-1.7644444
g1246463-212335,1,0.700,0.061,-0.101,0.076,0.240,0.043,0.125,0.047,1,191.6929583,-21.3929444
g1246522-130104,1,1.050,0.028,-0.458,0.096,0.460,0.078,-0.025,0.035,5,191.7175417,-13.0176389
g1247174-450233,1,1.075,0.050,-0.279,0.071,0.270,0.050,-0.025,0.041,6,191.8223750,-45.0425556
g1247178-073954,1,0.900,0.098,0.127,0.090,0.210,0.047,0.325,0.060,6,191.8242917,-7.6648611
g1247230-161744,1,0.400,0.090,0.002,0.128,0.210,0.073,0.200,0.098,5,191.8457083,-16.2954722
g1247304-310935,1,0.200,0.075,0.341,0.199,-0.150,0.089,0.200,0.139,4,191.8767083,-31.1598056
g1247430-211712,1,0.900,0.118,-0.121,0.112,0.420,0.064,0.275,0.076,8,191.9290833,-21.2866667
g1247480-360419,1,0.375,0.076,0.218,0.097,0.060,0.049,0.275,0.068,4,191.9498750,-36.0720278
g1247486-151957,1,0.750,0.116,-0.120,0.125,0.180,0.080,0.050,0.078,6,191.9524167,-15.3324167
g1247525-151035,1,0.700,0.104,-0.164,0.133,0.440,0.065,0.250,0.080,5,191.9685417,-15.1763333
g1248126-214253,1,1.075,0.035,-0.095,0.062,0.180,0.046,0.075,0.039,5,192.0522917,-21.7148056
g1248216-414252,1,0.475,0.065,0.340,0.076,0.090,0.033,0.425,0.060,3,192.0897917,-41.7143611
g1248222-170117,1,0.725,0.150,0.432,0.153,-0.060,0.067,0.375,0.111,7,192.0923333,-17.0214444
g1248246-421300,1,0.800,0.089,-0.126,0.090,0.240,0.056,0.100,0.054,2,192.1026667,-42.2166944
g1248273-115420,1,1.125,0.036,-0.496,0.082,0.500,0.060,-0.025,0.039,3,192.1139167,-11.9055000
g1248534-121024,1,1.050,0.050,-0.377,0.090,0.480,0.058,0.075,0.044,6,192.2224583,-12.1734167
g1249064-414956,1,0.900,0.077,-0.095,0.077,0.180,0.048,0.075,0.043,3,192.2767500,-41.8323333
g1249109-151136,1,0.250,0.047,0.147,0.118,0.030,0.082,0.175,0.082,6,192.2954583,-15.1933611
g1249128-215728,1,0.250,0.150,0.030,0.296,0.340,0.149,0.350,0.199,7,192.3031667,-21.9578611
g1249181-213524,1,0.475,0.105,0.215,0.124,0.090,0.050,0.300,0.103,2,192.3252917,-21.5899167
g1249190-090630,1,0.550,0.103,-0.054,0.112,0.270,0.055,0.200,0.071,6,192.3290000,-9.1084167
g1249198-091732,1,1.100,0.023,-0.504,0.070,0.270,0.058,-0.250,0.028,3,192.3326667,-9.2921944
g1249267-412746,1,0.900,0.076,-0.370,0.097,0.180,0.072,-0.200,0.043,4,192.3610833,-41.4628611
g1249335-440357,1,0.850,0.109,0.237,0.092,0.120,0.043,0.350,0.068,8,192.3895833,-44.0659167
g1249345-410318,1,1.075,0.008,-0.176,0.044,0.240,0.036,0.050,0.021,0,192.3939167,-41.0548611
g1249472-145842,1,0.200,0.057,0.365,0.161,0.090,0.053,0.450,0.147,3,192.4465833,-14.9784167
g1249516-411335,1,0.750,0.077,-0.229,0.087,0.270,0.052,0.025,0.050,3,192.4649583,-41.2262778
g1249542-411646,1,0.775,0.069,-0.151,0.060,0.320,0.034,0.150,0.040,4,192.4757083,-41.2793333
g1249598-315802,1,1.150,0.029,-0.370,0.066,0.340,0.050,-0.050,0.034,2,192.4991250,-31.9672778
g1250018-151255,1,0.425,0.085,-0.271,0.152,0.500,0.079,0.200,0.096,5,192.5073750,-15.2151389
