F,Seq,6dFGS,No,2MASX,MJD,z,S/N,R,Vd,e_Vd,elogVd,Cats,Simbad,_RA,_DE
F,09614,g2022030-475913,1,J20220305-4759124,53268.41,0.0188,13.0,13.6,158.1,18.9,0.052,Cats,Simbad,305.5126667,-47.9868611
F,09615,g2022050-413449,1,J20220503-4134490,52822.71,0.0481,17.5,17.1,176.4,14.2,0.035,Cats,Simbad,305.5210000,-41.5802222
F,09616,g2022177-194422,1,J20221768-1944224,52878.46,0.0543,5.6,8.3,179.8,52.6,0.127,Cats,Simbad,305.5737500,-19.7395556
F,09617,g2022186-531104,1,J20221859-5311034,53269.41,0.0487,10.0,10.2,203.9,28.2,0.060,Cats,Simbad,305.5775417,-53.1843611
F,09618,g2022325-760424,1,J20223243-7604240,53527.60,0.0402,16.4,16.6,159.4,15.4,0.042,Cats,Simbad,305.6352083,-76.0733056
F,09619,g2022366-595430,1,J20223654-5954295,53254.39,0.0362,18.5,19.8,149.8,13.8,0.040,Cats,Simbad,305.6523750,-59.9083056
F,09620,g2022433-525903,1,J20224325-5259025,53269.41,0.0501,9.1,10.2,170.0,30.1,0.077,Cats,Simbad,305.6803333,-52.9840556
F,09621,g2022434-530119,1,J20224336-5301185,53261.40,0.0486,13.6,13.6,267.3,24.6,0.040,Cats,Simbad,305.6807083,-53.0218889
F,09622,g2022466-513616,1,J20224661-5136165,53232.42,0.0395,18.1,19.5,186.5,13.3,0.031,Cats,Simbad,305.6941667,-51.6045556
F,09623,g2022582-342352,1,J20225816-3423521,52848.57,0.0332,15.1,16.6,208.6,19.2,0.040,Cats,Simbad,305.7424583,-34.3978611
F,09624,g2023057-022129,1,J20230568-0221295,53145.74,0.0541,12.0,13.1,162.3,19.8,0.053,Cats,Simbad,305.7737500,-2.3581667
F,09625,g2023141-444723,1,J20231411-4447232,52911.40,0.0521,10.4,13.0,184.0,22.5,0.053,Cats,Simbad,305.8086667,-44.7897222
F,09626,g2023182-525427,1,J20231815-5254263,53283.40,0.0531,8.9,13.2,140.6,30.4,0.094,Cats,Simbad,305.8256667,-52.9073889
F,09627,g2023204-822046,1,J20232024-8220458,53524.71,0.0453,11.9,13.9,185.1,22.6,0.053,Cats,Simbad,305.8347917,-82.3461389
F,09628,g2023211-181921,1,J20232111-1819203,52903.40,0.0265,20.8,17.3,204.9,14.2,0.030,Cats,Simbad,305.8379583,-18.3224167
F,09629,g2023226-520459,1,J20232258-5204593,53268.41,0.0192,14.0,19.4,119.3,19.0,0.069,Cats,Simbad,305.8440833,-52.0831111
F,09630,g2023265-464616,1,J20232654-4646162,52911.40,0.0302,9.8,14.6,160.3,25.5,0.069,Cats,Simbad,305.8605417,-46.7712222
F,09631,g2023272-523155,1,J20232712-5231543,53268.41,0.0501,15.6,14.7,232.2,18.7,0.035,Cats,Simbad,305.8631250,-52.5318333
F,09632,g2023286-524453,1,J20232854-5244533,53261.40,0.0515,10.2,10.4,196.4,26.7,0.059,Cats,Simbad,305.8690000,-52.7481111
F,09633,g2023315-843704,1,J20233152-8437039,53524.71,0.0507,7.5,10.0,164.2,35.9,0.095,Cats,Simbad,305.8812500,-84.6178333
F,09634,g2023397-444114,1,J20233973-4441142,52822.71,0.0305,6.0,10.8,130.1,38.6,0.129,Cats,Simbad,305.9155417,-44.6873056
F,09635,g2023430-482628,1,J20234294-4826273,53268.41,0.0534,8.2,10.3,147.0,31.5,0.093,Cats,Simbad,305.9289583,-48.4409722
F,09636,g2023449-191932,1,J20234488-1919315,52903.40,0.0108,30.1,18.7,217.9,10.0,0.020,Cats,Simbad,305.9369167,-19.3254167
F,09637,g2023494-070259,1,J20234940-0702592,53205.59,0.0378,8.1,9.8,116.9,38.5,0.143,Cats,Simbad,305.9559167,-7.0497222
F,09638,g2023527-593914,1,J20235268-5939138,53254.39,0.0382,16.4,18.7,121.2,15.9,0.057,Cats,Simbad,305.9695833,-59.6537778
F,09639,g2023573-091653,1,J20235734-0916531,53205.59,0.0278,19.6,17.5,262.5,20.6,0.034,Cats,Simbad,305.9888750,-9.2813611
F,09640,g2024024-094512,1,J20240246-0945121,53205.59,0.0535,6.0,8.5,192.8,49.7,0.112,Cats,Simbad,306.0101667,-9.7533333
F,09641,g2024116-502239,1,J20241155-5022394,53232.42,0.0188,14.8,10.4,143.1,27.0,0.082,Cats,Simbad,306.0481667,-50.3775556
F,09642,g2024144-523737,1,J20241439-5237374,53283.40,0.0487,8.5,9.5,163.9,35.1,0.093,Cats,Simbad,306.0600833,-52.6269444
F,09643,g2024167-210727,1,J20241669-2107270,53206.59,0.0272,6.5,9.9,121.9,40.4,0.144,Cats,Simbad,306.0695833,-21.1242222
F,09644,g2024255-070420,1,J20242552-0704197,53205.59,0.0189,14.1,13.7,177.5,19.2,0.047,Cats,Simbad,306.1062917,-7.0720833
F,09645,g2024305-210108,1,J20243049-2101080,52903.40,0.0282,12.8,17.0,134.8,19.6,0.063,Cats,Simbad,306.1271250,-21.0189167
F,09646,g2024356-302754,1,J20243561-3027539,52879.48,0.0423,11.1,13.7,201.1,24.5,0.053,Cats,Simbad,306.1483750,-30.4650278
F,09647,g2024407-222923,1,J20244069-2229230,52878.46,0.0546,10.4,11.7,129.3,23.5,0.079,Cats,Simbad,306.1696250,-22.4896944
F,09648,g2024598-623418,1,J20245981-6234185,53233.46,0.0374,12.2,13.9,175.8,21.0,0.052,Cats,Simbad,306.2493333,-62.5717778
F,09649,g2025074-652004,1,J20250744-6520045,53264.40,0.0522,12.5,13.2,166.4,21.8,0.057,Cats,Simbad,306.2808750,-65.3345278
F,09650,g2025128-205201,1,J20251288-2052013,52903.40,0.0290,9.5,8.7,205.7,33.6,0.071,Cats,Simbad,306.3035000,-20.8670556
F,09651,g2025238-532111,1,J20252383-5321106,53236.47,0.0494,13.7,14.6,233.1,18.2,0.034,Cats,Simbad,306.3493333,-53.3529444
F,09652,g2025295-155113,1,J20252950-1551134,52903.40,0.0288,9.8,13.0,113.5,29.0,0.111,Cats,Simbad,306.3729583,-15.8537222
F,09653,g2025401-632052,1,J20254004-6320518,53233.46,0.0375,12.8,15.0,166.2,19.9,0.052,Cats,Simbad,306.4170000,-63.3476944
F,09654,g2025416-172633,1,J20254158-1726333,52903.40,0.0208,22.2,21.7,136.0,13.2,0.042,Cats,Simbad,306.4232083,-17.4425556
F,09655,g2025469-494831,1,J20254686-4948306,53268.41,0.0383,8.3,11.1,110.9,36.8,0.144,Cats,Simbad,306.4454167,-49.8086944
F,09656,g2025518-220843,1,J20255179-2208426,52878.46,0.0203,15.8,19.8,131.9,16.4,0.054,Cats,Simbad,306.4658333,-22.1452222
F,09657,g2025536-080918,1,J20255359-0809173,53205.59,0.0353,17.0,23.2,124.6,15.8,0.055,Cats,Simbad,306.4732500,-8.1549167
F,09658,g2026012-220034,1,J20260121-2200336,52878.46,0.0541,12.5,11.9,207.4,19.6,0.041,Cats,Simbad,306.5051250,-22.0093889
F,09659,g2026135-332135,1,J20261351-3321353,52848.57,0.0400,12.5,13.8,165.2,21.7,0.057,Cats,Simbad,306.5564167,-33.3598333
F,09660,g2026176-522417,1,J20261758-5224170,53283.40,0.0198,22.7,20.8,150.5,11.4,0.033,Cats,Simbad,306.5731250,-52.4047500
F,09661,g2026199-480238,1,J20261994-4802380,53262.41,0.0204,18.8,14.3,145.9,16.1,0.048,Cats,Simbad,306.5830000,-48.0438611
F,09662,g2026399-544759,1,J20263988-5447588,53269.41,0.0153,31.7,19.1,169.1,8.6,0.022,Cats,Simbad,306.6662500,-54.7996944
F,09663,g2026469-740623,1,J20264693-7406223,53529.64,0.0402,25.6,21.4,191.1,10.6,0.024,Cats,Simbad,306.6955833,-74.1062778
F,09664,g2026526-014923,1,J20265263-0149236,53145.74,0.0265,8.9,10.3,114.6,42.2,0.160,Cats,Simbad,306.7193333,-1.8231389
F,09665,g2026563-525410,1,J20265625-5254100,53261.40,0.0499,10.3,10.3,185.6,28.6,0.067,Cats,Simbad,306.7344167,-52.9027500
F,09666,g2027037-733834,1,J20270366-7338342,53529.64,0.0539,15.4,12.9,253.9,25.7,0.044,Cats,Simbad,306.7652917,-73.6427778
F,09667,g2027196-514219,1,J20271961-5142190,53268.41,0.0193,10.4,13.7,131.8,27.0,0.089,Cats,Simbad,306.8316667,-51.7052222
F,09668,g2027234-670630,1,J20272337-6706302,53264.40,0.0520,10.7,11.5,206.7,26.7,0.056,Cats,Simbad,306.8473750,-67.1083333
F,09669,g2027283-421601,1,J20272819-4216014,52822.71,0.0514,11.0,13.8,122.0,20.5,0.073,Cats,Simbad,306.8678333,-42.2669444
F,09670,g2027325-442909,1,J20273247-4429094,53262.41,0.0462,17.7,11.8,190.8,18.5,0.042,Cats,Simbad,306.8853750,-44.4859167
F,09671,g2027366-185224,1,J20273660-1852239,52903.40,0.0260,8.4,9.9,154.4,36.3,0.102,Cats,Simbad,306.9025417,-18.8734167
F,09672,g2027375-665414,1,J20273752-6654143,53264.40,0.0390,20.0,19.4,185.4,12.0,0.028,Cats,Simbad,306.9062500,-66.9039444
F,09673,g2027461-030437,1,J20274605-0304375,53145.74,0.0190,40.0,17.6,163.6,7.5,0.020,Cats,Simbad,306.9419167,-3.0770556
F,09674,g2027498-470428,1,J20274975-4704273,53262.41,0.0402,19.6,24.6,148.1,13.0,0.038,Cats,Simbad,306.9573333,-47.0743056
F,09675,g2027526-425721,1,J20275255-4257203,52911.40,0.0443,11.4,14.6,205.5,24.1,0.051,Cats,Simbad,306.9690417,-42.9556944
F,09676,g2027568-443638,1,J20275674-4436383,52911.40,0.0407,11.8,12.4,158.7,25.2,0.069,Cats,Simbad,306.9865000,-44.6106389
F,09677,g2028050-450843,1,J20280503-4508423,52911.40,0.0406,11.0,9.3,115.1,40.0,0.151,Cats,Simbad,307.0209583,-45.1451389
F,09678,g2028329-440430,1,J20283290-4404299,52822.71,0.0408,10.9,11.8,189.6,23.1,0.053,Cats,Simbad,307.1370833,-44.0750556
F,09679,g2028423-481028,1,J20284234-4810287,53262.41,0.0423,10.5,12.9,160.9,28.2,0.076,Cats,Simbad,307.1764167,-48.1745556
F,09680,g2028444-200037,1,J20284434-2000371,53206.59,0.0547,7.5,9.2,170.5,35.3,0.090,Cats,Simbad,307.1847917,-20.0102500
F,09681,g2028445-655827,1,J20284452-6558269,53264.40,0.0356,8.2,9.2,101.7,44.0,0.188,Cats,Simbad,307.1853333,-65.9741111
F,09682,g2028491-011119,1,J20284913-0111193,53145.74,0.0535,5.4,10.2,189.0,33.1,0.076,Cats,Simbad,307.2047500,-1.1886944
F,09683,g2028506-740612,1,J20285063-7406114,53529.64,0.0409,21.0,18.1,141.2,12.7,0.039,Cats,Simbad,307.2107917,-74.1031944
F,09684,g2028520-185106,1,J20285199-1851060,52903.40,0.0268,10.2,8.8,224.9,38.8,0.075,Cats,Simbad,307.2165833,-18.8516667
F,09685,g2028524-792153,1,J20285230-7921533,53526.70,0.0384,16.6,18.8,198.2,15.1,0.033,Cats,Simbad,307.2182083,-79.3648333
F,09686,g2028541-211145,1,J20285410-2111450,52878.46,0.0375,10.6,14.7,144.2,23.2,0.070,Cats,Simbad,307.2254167,-21.1958056
F,09687,g2028564-490343,1,J20285635-4903426,53262.41,0.0401,8.3,11.8,147.7,28.9,0.085,Cats,Simbad,307.2348750,-49.0618889
F,09688,g2029247-001026,1,J20292468-0010265,53145.74,0.0181,24.2,19.9,201.4,11.1,0.024,Cats,Simbad,307.3528750,-0.1740000
F,09689,g2029256-074409,1,J20292556-0744086,53205.59,0.0538,13.3,14.7,170.2,18.4,0.047,Cats,Simbad,307.3565000,-7.7357500
F,09690,g2029315-211353,1,J20293147-2113526,53206.59,0.0368,9.3,11.9,158.2,28.0,0.077,Cats,Simbad,307.3811667,-21.2312778
F,09691,g2030041-190933,1,J20300405-1909324,53206.59,0.0272,5.6,9.6,153.0,39.1,0.111,Cats,Simbad,307.5169167,-19.1590833
F,09692,g2030143-190658,1,J20301427-1906574,52903.40,0.0267,22.0,16.2,224.2,16.5,0.032,Cats,Simbad,307.5595000,-19.1159722
F,09693,g2030223-524301,1,J20302222-5243009,53269.41,0.0504,11.7,11.9,134.4,23.2,0.075,Cats,Simbad,307.5927083,-52.7168611
F,09694,g2030267-660551,1,J20302670-6605502,53264.40,0.0355,10.3,10.2,143.8,37.7,0.114,Cats,Simbad,307.6111667,-66.0973611
F,09695,g2030321-442040,1,J20303209-4420396,53262.41,0.0302,18.4,19.1,120.1,16.0,0.058,Cats,Simbad,307.6337500,-44.3443889
F,09696,g2030365-842925,1,J20303663-8429251,53524.71,0.0497,7.3,9.1,187.3,38.4,0.089,Cats,Simbad,307.6519583,-84.4902778
F,09697,g2030395-021931,1,J20303951-0219305,53145.74,0.0201,14.0,15.0,124.8,22.1,0.077,Cats,Simbad,307.6647083,-2.3251944
F,09698,g2030464-443035,1,J20304638-4430346,53262.41,0.0312,12.8,13.9,105.6,26.0,0.107,Cats,Simbad,307.6932500,-44.5095833
F,09699,g2031115-534140,1,J20311146-5341401,53269.41,0.0502,13.1,13.2,187.8,19.5,0.045,Cats,Simbad,307.7977083,-53.6945556
F,09700,g2031122-441544,1,J20311218-4415444,52822.71,0.0301,8.2,12.5,113.2,37.8,0.145,Cats,Simbad,307.8008333,-44.2623056
F,09701,g2031284-542049,1,J20312836-5420485,53261.40,0.0405,11.3,12.5,196.7,25.4,0.056,Cats,Simbad,307.8682083,-54.3468056
F,09702,g2031322-535155,1,J20313219-5351542,53283.40,0.0503,11.1,13.1,191.8,21.2,0.048,Cats,Simbad,307.8841250,-53.8651389
F,09703,g2031335-192207,1,J20313351-1922074,52903.40,0.0271,16.7,15.3,177.4,16.7,0.041,Cats,Simbad,307.8897083,-19.3686667
F,09704,g2031448-542931,1,J20314479-5429304,53269.41,0.0522,8.4,11.4,157.5,26.5,0.073,Cats,Simbad,307.9367083,-54.4918056
F,09705,g2031459-840330,1,J20314600-8403303,53645.38,0.0494,17.6,12.1,348.7,32.1,0.040,Cats,Simbad,307.9414167,-84.0583611
F,09706,g2031485-745209,1,J20314855-7452087,53530.59,0.0512,10.8,14.7,122.2,19.4,0.069,Cats,Simbad,307.9520833,-74.8691389
F,09707,g2031544-013033,1,J20315435-0130330,53145.74,0.0315,10.3,12.3,180.0,27.8,0.067,Cats,Simbad,307.9765417,-1.5091667
F,09708,g2032006-502308,1,J20320061-5023085,53268.41,0.0405,19.5,24.2,151.3,13.9,0.040,Cats,Simbad,308.0025833,-50.3856667
F,09709,g2032031-442501,1,J20320311-4425007,52822.71,0.0309,11.3,11.9,120.2,32.7,0.118,Cats,Simbad,308.0128750,-44.4169167
F,09710,g2032048-195949,1,J20320481-1959487,52903.40,0.0267,20.2,21.4,166.5,16.1,0.042,Cats,Simbad,308.0200000,-19.9969444
F,09711,g2032123-090322,1,J20321230-0903214,53205.59,0.0203,30.1,21.0,194.0,8.5,0.019,Cats,Simbad,308.0512500,-9.0560278
F,09712,g2032274-210958,1,J20322742-2109579,52852.58,0.0273,21.7,16.9,241.1,12.8,0.023,Cats,Simbad,308.1143333,-21.1661667
F,09713,g2033264-593536,1,J20332645-5935360,53254.39,0.0550,12.4,11.0,273.6,32.8,0.052,Cats,Simbad,308.3600833,-59.5933333
F,09714,g2033292-601745,1,J20332926-6017457,53254.39,0.0544,12.4,12.5,231.7,23.5,0.044,Cats,Simbad,308.3717917,-60.2959444
F,09715,g2033295-664522,1,J20332953-6645223,53264.40,0.0460,13.0,14.5,257.1,24.9,0.042,Cats,Simbad,308.3729167,-66.7562222
F,09716,g2033392-435420,1,J20333916-4354197,52822.71,0.0311,19.0,21.1,210.6,13.1,0.027,Cats,Simbad,308.4132917,-43.9055278
F,09717,g2033551-210742,1,J20335511-2107415,53206.59,0.0277,9.4,11.3,159.7,29.1,0.079,Cats,Simbad,308.4796667,-21.1282222
F,09718,g2033576-524707,1,J20335752-5247064,53269.41,0.0484,16.3,17.0,142.7,13.8,0.042,Cats,Simbad,308.4897917,-52.7851667
F,09719,g2034026-535749,1,J20340253-5357488,53283.40,0.0548,8.8,10.9,191.0,34.7,0.079,Cats,Simbad,308.5106667,-53.9635278
F,09720,g2034029-013442,1,J20340292-0134425,53145.74,0.0538,7.8,10.8,224.0,35.1,0.068,Cats,Simbad,308.5121250,-1.5784444
F,09721,g2034035-494230,1,J20340353-4942302,53268.41,0.0421,12.2,12.2,180.9,24.2,0.058,Cats,Simbad,308.5147500,-49.7083889
F,09722,g2034036-484201,2,J20340357-4842012,53262.41,0.0421,11.1,13.5,169.4,21.8,0.056,Cats,Simbad,308.5147917,-48.7003611
F,09722,g2034036-484201,2,J20340357-4842012,53286.42,0.0421,19.0,15.3,151.3,12.5,0.036,Cats,Simbad,308.5147917,-48.7003611
F,09723,g2034046-592047,1,J20340451-5920468,53254.39,0.0540,8.3,9.1,200.1,32.3,0.070,Cats,Simbad,308.5190000,-59.3462778
F,09724,g2034057-451504,1,J20340569-4515037,52911.40,0.0521,7.6,9.6,186.1,33.9,0.079,Cats,Simbad,308.5238333,-45.2509722
F,09725,g2034220-545913,1,J20342202-5459123,53261.40,0.0401,8.0,9.2,167.4,33.9,0.088,Cats,Simbad,308.5916667,-54.9868056
p,09726,g2034250-474003,1,J20342504-4740031,53284.41,0.0426,23.2,14.2,209.6,13.5,0.028,Cats,Simbad,308.6042917,-47.6675278
F,09727,g2034289-834011,1,J20342892-8340111,53645.38,0.0504,9.1,10.1,140.8,29.5,0.091,Cats,Simbad,308.6204167,-83.6696944
F,09728,g2034317-535823,1,J20343166-5358233,53261.40,0.0541,8.4,9.4,258.2,36.3,0.061,Cats,Simbad,308.6320417,-53.9731389
F,09729,g2034358-473330,1,J20343583-4733301,53268.41,0.0416,8.6,11.2,170.2,31.0,0.079,Cats,Simbad,308.6491667,-47.5583611
F,09730,g2034493-460633,1,J20344935-4606330,53262.41,0.0509,12.3,17.1,141.5,19.9,0.061,Cats,Simbad,308.7055833,-46.1091667
F,09731,g2034524-421110,1,J20345244-4211100,52822.71,0.0508,6.6,9.3,123.3,39.7,0.140,Cats,Simbad,308.7185000,-42.1861111
F,09732,g2034584-420335,1,J20345841-4203355,52822.71,0.0402,18.3,22.9,163.2,13.5,0.036,Cats,Simbad,308.7434167,-42.0598333
F,09733,g2034592-673635,1,J20345920-6736343,53264.40,0.0433,15.2,18.9,170.3,20.8,0.053,Cats,Simbad,308.7464583,-67.6095833
F,09734,g2035027-714036,1,J20350264-7140353,53266.40,0.0491,7.8,9.0,172.0,43.6,0.110,Cats,Simbad,308.7610417,-71.6765278
F,09735,g2035076-531828,1,J20350766-5318278,53261.40,0.0435,8.1,11.4,128.8,34.1,0.115,Cats,Simbad,308.7818333,-53.3077500
F,09736,g2035130-575905,1,J20351294-5759052,53267.40,0.0374,12.8,11.0,160.4,24.7,0.067,Cats,Simbad,308.8039583,-57.9848056
F,09737,g2035250-434617,1,J20352499-4346165,52822.71,0.0294,8.8,12.5,119.0,35.3,0.129,Cats,Simbad,308.8542500,-43.7712500
F,09738,g2035271-750737,1,J20352707-7507369,53530.59,0.0406,16.2,15.4,167.7,16.2,0.042,Cats,Simbad,308.8630833,-75.1268889
F,09739,g2035310-024553,1,J20353105-0245536,53207.61,0.0197,15.7,12.6,216.7,22.0,0.044,Cats,Simbad,308.8792500,-2.7648056
F,09740,g2035317-432618,1,J20353163-4326185,52822.71,0.0281,17.7,18.1,195.0,15.3,0.034,Cats,Simbad,308.8818750,-43.4384444
F,09741,g2035394-554224,1,J20353946-5542242,53261.40,0.0357,7.2,10.9,160.4,31.8,0.086,Cats,Simbad,308.9143333,-55.7067222
F,09742,g2035538-650336,1,J20355373-6503361,53264.40,0.0464,7.2,9.5,211.7,39.0,0.080,Cats,Simbad,308.9739583,-65.0600833
F,09743,g2035545-522545,1,J20355445-5225450,53269.41,0.0442,16.4,18.1,121.9,16.6,0.059,Cats,Simbad,308.9768750,-52.4291944
F,09744,g2035556-483638,2,J20355560-4836380,53262.41,0.0424,8.5,12.5,148.4,28.7,0.084,Cats,Simbad,308.9816667,-48.6105556
F,09744,g2035556-483638,2,J20355560-4836380,53286.42,0.0424,16.6,14.3,150.4,15.2,0.044,Cats,Simbad,308.9816667,-48.6105556
F,09745,g2035573-541758,1,J20355726-5417579,53283.40,0.0114,38.4,25.7,109.7,6.8,0.027,Cats,Simbad,308.9885417,-54.2994722
F,09746,g2035574-005125,1,J20355735-0051249,53207.61,0.0379,13.5,17.3,144.9,16.7,0.050,Cats,Simbad,308.9890833,-0.8568611
F,09747,g2035575-443615,1,J20355745-4436148,52911.40,0.0522,6.3,8.5,172.0,45.5,0.115,Cats,Simbad,308.9893750,-44.6041111
F,09748,g2035579-493615,1,J20355788-4936150,53268.41,0.0165,15.4,12.6,235.6,19.5,0.036,Cats,Simbad,308.9912083,-49.6042222
F,09749,g2036018-493446,1,J20360178-4934460,53286.42,0.0454,11.3,9.5,166.0,24.1,0.063,Cats,Simbad,309.0076667,-49.5794444
F,09750,g2036025-420509,1,J20360252-4205088,52822.71,0.0512,11.5,14.7,139.4,21.5,0.067,Cats,Simbad,309.0104583,-42.0858611
F,09751,g2036081-525529,1,J20360810-5255290,53283.40,0.0482,17.1,16.4,192.9,14.7,0.033,Cats,Simbad,309.0338333,-52.9247500
F,09752,g2036250-491533,1,J20362504-4915324,53284.41,0.0208,29.4,18.0,167.1,8.8,0.023,Cats,Simbad,309.1043333,-49.2590556
F,09753,g2036272-521704,1,J20362719-5217044,53269.41,0.0445,22.8,15.2,246.4,15.3,0.027,Cats,Simbad,309.1134167,-52.2845000
F,09754,g2036345-573723,1,J20363449-5737229,53267.40,0.0359,13.7,13.7,254.6,27.6,0.047,Cats,Simbad,309.1438750,-57.6230833
F,09755,g2036447-543737,1,J20364464-5437368,53269.41,0.0496,10.8,12.6,206.6,22.8,0.048,Cats,Simbad,309.1860417,-54.6268611
F,09756,g2036575-514709,1,J20365747-5147092,53269.41,0.0536,9.6,11.5,106.5,32.6,0.133,Cats,Simbad,309.2394167,-51.7859167
F,09757,g2037066-202335,1,J20370662-2023345,52852.58,0.0372,10.0,14.6,120.6,24.4,0.088,Cats,Simbad,309.2774167,-20.3929444
F,09758,g2037123-543906,1,J20371227-5439064,53283.40,0.0485,20.9,18.2,218.5,12.6,0.025,Cats,Simbad,309.3010417,-54.6517778
F,09759,g2037222-740838,1,J20372217-7408382,53529.64,0.0529,14.2,13.5,123.2,19.9,0.070,Cats,Simbad,309.3424583,-74.1440000
F,09760,g2037275-443835,1,J20372748-4438353,52792.72,0.0519,17.5,18.2,212.7,13.2,0.027,Cats,Simbad,309.3645833,-44.6431111
F,09761,g2037391-030333,1,J20373908-0303330,53207.61,0.0205,10.2,13.2,114.7,29.6,0.112,Cats,Simbad,309.4129167,-3.0591389
F,09762,g2037421-014420,1,J20374210-0144200,53207.61,0.0542,10.8,11.8,244.0,29.2,0.052,Cats,Simbad,309.4254167,-1.7388611
F,09763,g2037435-781220,1,J20374354-7812199,53526.70,0.0420,8.3,12.5,163.1,31.5,0.084,Cats,Simbad,309.4311667,-78.2055556
F,09764,g2037447-155231,1,J20374472-1552306,52548.41,0.0540,11.4,16.4,230.2,21.7,0.041,Cats,Simbad,309.4363750,-15.8752500
F,09765,g2037521-015629,1,J20375204-0156290,53207.61,0.0378,9.4,10.8,148.3,29.7,0.087,Cats,Simbad,309.4669167,-1.9414722
F,09766,g2037564-183901,1,J20375638-1839013,53206.59,0.0545,10.4,12.5,138.8,25.2,0.079,Cats,Simbad,309.4848750,-18.6503611
F,09767,g2038059-701134,1,J20380586-7011337,53266.40,0.0396,9.0,9.6,142.9,29.6,0.090,Cats,Simbad,309.5243750,-70.1927778
F,09768,g2038077-513420,1,J20380766-5134205,53268.41,0.0490,16.4,10.3,140.5,17.1,0.053,Cats,Simbad,309.5320417,-51.5723333
F,09769,g2038081-551037,1,J20380809-5510365,53283.40,0.0501,10.5,13.2,168.3,21.3,0.055,Cats,Simbad,309.5337500,-55.1768333
F,09770,g2038141-155616,1,J20381412-1556161,52548.41,0.0539,6.3,10.1,121.1,35.1,0.126,Cats,Simbad,309.5588750,-15.9378611
F,09771,g2038202-520638,1,J20382024-5206374,53269.41,0.0153,22.6,21.9,143.1,13.2,0.040,Cats,Simbad,309.5842500,-52.1104722
F,09772,g2038279-440305,1,J20382792-4403051,52792.72,0.0506,17.9,19.6,173.8,13.2,0.033,Cats,Simbad,309.6163750,-44.0515000
F,09773,g2038359-152754,1,J20383584-1527541,52548.41,0.0283,11.6,14.5,113.3,23.5,0.090,Cats,Simbad,309.6494583,-15.4649722
F,09774,g2038392-202903,1,J20383916-2029027,53206.59,0.0277,16.3,16.1,225.5,18.7,0.036,Cats,Simbad,309.6632083,-20.4841389
F,09775,g2038534-434017,1,J20385336-4340164,52822.71,0.0513,6.2,9.8,161.1,44.5,0.120,Cats,Simbad,309.7223750,-43.6713056
F,09776,g2038552-571306,1,J20385523-5713065,53267.40,0.0355,14.8,19.9,105.5,18.7,0.077,Cats,Simbad,309.7301250,-57.2183889
F,09777,g2038571-224412,1,J20385712-2244116,52852.58,0.0252,16.5,18.9,131.3,16.9,0.056,Cats,Simbad,309.7379583,-22.7366389
F,09778,g2039091-211908,1,J20390910-2119078,52852.58,0.0276,8.4,10.8,132.7,33.3,0.109,Cats,Simbad,309.7880000,-21.3188611
F,09779,g2039142-434217,1,J20391420-4342164,52792.72,0.0516,19.4,21.2,212.5,12.7,0.026,Cats,Simbad,309.8090833,-43.7046667
F,09780,g2039329-530604,1,J20393289-5306039,53269.41,0.0485,20.5,18.9,172.5,10.7,0.027,Cats,Simbad,309.8869583,-53.1010833
F,09781,g2039353-510256,1,J20393526-5102559,53268.41,0.0492,6.4,9.4,114.6,39.6,0.150,Cats,Simbad,309.8970417,-51.0489167
F,09782,g2039357-420134,1,J20393570-4201342,52822.71,0.0382,10.5,14.2,104.4,30.5,0.127,Cats,Simbad,309.8987083,-42.0261389
F,09783,g2039361-530101,1,J20393610-5301009,53283.40,0.0433,11.8,15.0,142.9,26.0,0.079,Cats,Simbad,309.9003333,-53.0168333
F,09784,g2039541-213614,1,J20395411-2136139,52852.58,0.0372,13.6,14.5,159.9,19.1,0.052,Cats,Simbad,309.9755417,-21.6038056
F,09785,g2040067-425534,1,J20400667-4255341,52822.71,0.0512,10.9,11.9,185.1,23.0,0.054,Cats,Simbad,310.0277500,-42.9261944
F,09786,g2040093-204805,1,J20400936-2048053,53206.59,0.0363,11.7,13.4,203.7,27.2,0.058,Cats,Simbad,310.0389167,-20.8014444
F,09787,g2040172-224654,1,J20401714-2246543,52852.58,0.0330,16.5,18.8,147.4,13.2,0.039,Cats,Simbad,310.0714583,-22.7817222
F,09788,g2040185-533157,1,J20401847-5331563,53269.41,0.0431,13.1,14.9,114.6,26.4,0.100,Cats,Simbad,310.0770417,-53.5323611
F,09789,g2040195-223403,1,J20401945-2234032,52852.58,0.0429,11.3,14.3,166.4,24.1,0.063,Cats,Simbad,310.0810833,-22.5675833
F,09790,g2040197-530031,1,J20401970-5300303,53283.40,0.0440,11.8,12.4,189.8,22.3,0.051,Cats,Simbad,310.0820833,-53.0084722
F,09791,g2040284-531726,1,J20402835-5317263,53269.41,0.0446,14.0,14.3,196.7,19.5,0.043,Cats,Simbad,310.1181667,-53.2906667
F,09792,g2040312-463438,1,J20403120-4634385,52792.72,0.0431,10.9,11.2,122.8,31.4,0.111,Cats,Simbad,310.1300417,-46.5773056
F,09793,g2040379-541811,1,J20403786-5418110,53283.40,0.0109,35.1,21.8,157.5,7.6,0.021,Cats,Simbad,310.1577083,-54.3030556
F,09794,g2040408-203945,1,J20404081-2039449,53206.59,0.0374,8.5,11.1,162.9,25.9,0.069,Cats,Simbad,310.1700417,-20.6625556
