2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks,d_mpc,M_K,M_pred,residual,mu_fj,d_fj_mpc
J15322417-1223547,12.446,0.392,3.21,11.704,0.403,11.341,0.427,g1532242-122355,1,p,15.54005,-12.39856,10474,0.079,0.09,0.114,3.645,3.762,3.786,2.318,2.0,,,,,10.2605,0.0168,1,1,1,148.54630548858316,-24.518309274442124,-24.545429102479737,0.027119828037612592,35.88642910247974,150.41315485187513
J15325210-0650082,12.248,0.767,4.2,11.514,0.769,11.21,0.774,g1532521-065008,1,p,15.54781,-6.83561,10801,0.467,0.469,0.474,2.975,3.107,3.145,2.248,2.0,,,,,7.1151,0.0393,1,1,1,153.18394553963975,-24.716066257001813,-24.315749691903505,-0.4003165650983078,35.525749691903506,127.39428286150492
J15330950-0151579,12.173,0.465,4.2,11.368,0.456,11.016,0.441,g1533095-015158,1,p,15.55264,-1.86606,8550,0.068,0.059,0.044,3.6,3.783,3.888,2.467,2.0,,,,,4.03,0.098,1,1,1,121.25939583037866,-24.40257700025565,-25.03431813356343,0.6317411333077807,36.05031813356343,162.2047719545651
J15332594-0505469,12.206,0.698,6.0,11.465,0.705,11.405,0.519,g1533260-050547,1,p,15.55721,-5.09639,8161,0.281,0.288,0.102,3.11,3.238,3.572,2.209,1.0,,,,,2.1339,0.3149,1,1,1,115.74244787973336,-23.91246331589445,-24.187785448868176,0.2753221329737272,35.59278544886818,131.38841990231012
J15332709-3224091,13.019,0.539,6.0,12.249,0.561,12.111,0.442,g1533271-322409,1,p,15.55753,-32.40261,13285,0.325,0.347,0.228,3.148,3.25,3.456,2.324,1.0,,,,,2.5139,0.345,1,1,1,188.41299106509715,-24.26455422034627,-24.565115909100555,0.3005616887542857,36.67611590910056,216.38302198714393
J15334627-0846379,11.916,0.911,5.44,11.225,0.91,11.143,0.79,g1533463-084638,1,p,15.56285,-8.77714,7443,0.451,0.45,0.33,2.797,2.92,3.135,2.09,4.0,388.0,3.0,2.0,7364.0,3.2608,0.1645,1,1,1,105.559495107077,-23.974486521574146,-23.79733045088858,-0.17715607068556594,34.94033045088858,97.28952660190761
J15340046-1555172,11.978,0.696,5.43,11.178,0.772,10.902,0.776,g1534005-155518,1,p,15.56679,-15.92153,6935,0.21,0.286,0.29,3.191,3.208,3.255,2.069,2.0,,,,,3.3664,0.1232,1,1,1,98.35484328464047,-24.061978753661307,-23.72842662771571,-0.333552125945598,34.63042662771571,84.35004634512858
J15340625-0903329,13.16,0.536,4.38,12.431,0.558,12.183,0.563,g1534063-090333,1,p,15.56841,-9.05919,7353,0.076,0.098,0.103,3.048,3.141,3.173,2.042,2.0,388.0,3.0,2.0,7364.0,3.4815,0.1194,0,0,0,104.28308041412565,-22.90806925647349,-23.63983599792202,0.7317667414485314,35.82283599792202,146.0720753311734
J15341393-2111527,11.764,0.775,5.17,11.043,0.757,10.794,0.736,g1534139-211153,1,p,15.57054,-21.19794,7114,0.3,0.282,0.261,3.134,3.302,3.385,2.248,0.0,,,,,4.0213,0.0856,1,1,1,100.89349028506594,-24.225315730863596,-24.315749691903505,0.09043396103990986,35.1097496919035,105.18406199692164
J15341884-3201462,13.303,0.621,6.0,12.681,0.542,12.73,0.254,g1534188-320147,1,p,15.57189,-32.02958,14453,0.441,0.362,0.074,2.872,3.118,3.582,2.117,2.0,,,,,2.7243,0.3971,0,0,0,204.97801730251027,-23.82853644000738,-23.88592108068227,0.05738464067488991,36.61592108068227,210.46709957580376
